hex_id,hex_q,hex_r,count,centroid_lat,centroid_lon
-14705_6875,-14705,6875,345,41.96841942284933,-87.65707754864057
-14705_6857,-14705,6857,315,41.87818782609015,-87.72709429573955
-14704_6874,-14704,6874,234,41.96340990415634,-87.6531877293573
-14712_6885,-14712,6885,167,42.01849294381506,-87.67263682577367
-14693_6859,-14693,6859,166,41.88821986019843,-87.62595899437436
-14705_6876,-14705,6876,152,41.97342854763757,-87.6531877293573
-14702_6858,-14702,6858,146,41.88320404003357,-87.69986556075662
-14707_6862,-14707,6862,130,41.90326495794641,-87.72320447645627
-14705_6874,-14705,6874,124,41.96340990415634,-87.66096736792385
-14707_6857,-14707,6857,111,41.87818782609015,-87.74265357287265
-14703_6858,-14703,6858,108,41.88320404003357,-87.70764519932315
-14690_6852,-14690,6852,104,41.85310084995869,-87.62984881365766
-14695_6862,-14695,6862,93,41.90326495794641,-87.62984881365766
-14700_6858,-14700,6858,82,41.88320404003357,-87.68430628362349
-14707_6856,-14707,6856,79,41.87317121837568,-87.74654339215594
-14696_6861,-14696,6861,78,41.89825031916235,-87.64151827150748
-14710_6883,-14710,6883,78,42.00848139120921,-87.66485718720713
-14706_6876,-14706,6876,77,41.97342854763757,-87.66096736792385
-14677_6832,-14677,6832,77,41.75265452173847,-87.60650989795798
-14684_6831,-14684,6831,71,41.74762807223493,-87.66485718720713
-14704_6856,-14704,6856,71,41.87317121837568,-87.72320447645627
-14691_6855,-14691,6855,70,41.86815421689773,-87.62595899437436
-14676_6831,-14676,6831,70,41.74762807223493,-87.6026200786747
-14708_6863,-14708,6863,69,41.908279202921875,-87.72709429573955
-14708_6857,-14708,6857,68,41.87818782609015,-87.75043321143923
-14675_6823,-14675,6823,68,41.70740230832825,-87.62595899437436
-14705_6860,-14705,6860,67,41.893235286577195,-87.71542483788971
-14704_6868,-14704,6868,67,41.93334452040915,-87.67652664505695
-14692_6857,-14692,6857,66,41.87818782609015,-87.62595899437436
-14682_6832,-14682,6832,66,41.75265452173847,-87.64540809079072
-14705_6858,-14705,6858,65,41.88320404003357,-87.72320447645627
-14689_6851,-14689,6851,64,41.84808227350258,-87.62595899437436
-14707_6879,-14707,6879,62,41.9884535585006,-87.65707754864057
-14703_6872,-14703,6872,62,41.95338968508535,-87.6531877293573
-14737_6872,-14737,6872,61,41.95338968508535,-87.9176954406201
-14692_6837,-14692,6837,60,41.77778086542214,-87.7037553800399
-14690_6837,-14690,6837,60,41.77778086542214,-87.68819610290679
-14673_6820,-14673,6820,60,41.69231115377578,-87.62206917509108
-14706_6861,-14706,6861,59,41.89825031916235,-87.71931465717297
-14681_6838,-14681,6838,59,41.78280495333726,-87.61428953652451
-14693_6858,-14693,6858,59,41.88320404003357,-87.62984881365766
-14706_6860,-14706,6860,56,41.893235286577195,-87.72320447645627
-14694_6859,-14694,6859,55,41.88821986019843,-87.6337386329409
-14709_6858,-14709,6858,55,41.88320404003357,-87.75432303072246
-14710_6858,-14710,6858,54,41.88320404003357,-87.76210266928904
-14691_6837,-14691,6837,53,41.77778086542214,-87.69597574147332
-14694_6860,-14694,6860,52,41.893235286577195,-87.62984881365766
-14710_6860,-14710,6860,52,41.893235286577195,-87.75432303072246
-14710_6861,-14710,6861,52,41.89825031916235,-87.75043321143923
-14709_6857,-14709,6857,51,41.87818782609015,-87.75821285000578
-14704_6860,-14704,6860,51,41.893235286577195,-87.70764519932315
-14715_6872,-14715,6872,51,41.95338968508535,-87.74654339215594
-14703_6854,-14703,6854,51,41.863136821663865,-87.72320447645627
-14702_6857,-14702,6857,50,41.87818782609015,-87.7037553800399
-14708_6880,-14708,6880,50,41.99346110759678,-87.66096736792385
-14694_6857,-14694,6857,50,41.87818782609015,-87.64151827150748
-14706_6862,-14706,6862,49,41.90326495794641,-87.71542483788971
-14702_6855,-14702,6855,48,41.86815421689773,-87.71153501860644
-14706_6857,-14706,6857,48,41.87818782609015,-87.7348739343061
-14709_6860,-14709,6860,48,41.893235286577195,-87.74654339215594
-14688_6840,-14688,6840,47,41.792851948283484,-87.66096736792385
-14670_6832,-14670,6832,46,41.75265452173847,-87.55205242799208
-14687_6835,-14687,6835,46,41.767731508746834,-87.67263682577367
-14702_6870,-14702,6870,46,41.9433678904833,-87.6531877293573
-14701_6858,-14701,6858,45,41.88320404003357,-87.69208592219006
-14700_6855,-14700,6855,45,41.86815421689773,-87.69597574147332
-14711_6859,-14711,6859,45,41.88821986019843,-87.76599248857232
-14686_6835,-14686,6835,44,41.767731508746834,-87.66485718720713
-14704_6857,-14704,6857,44,41.87818782609015,-87.71931465717297
-14703_6855,-14703,6855,44,41.86815421689773,-87.71931465717297
-14706_6875,-14706,6875,43,41.96841942284933,-87.66485718720713
-14711_6860,-14711,6860,43,41.893235286577195,-87.76210266928904
-14704_6863,-14704,6863,43,41.908279202921875,-87.69597574147332
-14707_6861,-14707,6861,43,41.89825031916235,-87.72709429573955
-14702_6856,-14702,6856,43,41.87317121837568,-87.70764519932315
-14701_6857,-14701,6857,42,41.87818782609015,-87.69597574147332
-14714_6869,-14714,6869,42,41.938356402376556,-87.75043321143923
-14671_6832,-14671,6832,42,41.75265452173847,-87.55983206655863
-14684_6843,-14684,6843,42,41.807919488376285,-87.6181793558078
-14676_6826,-14676,6826,42,41.72248992131589,-87.62206917509108
-14700_6853,-14700,6853,41,41.85811903268165,-87.7037553800399
-14677_6826,-14677,6826,41,41.72248992131589,-87.62984881365766
-14684_6836,-14684,6836,41,41.7727563838894,-87.64540809079072
-14707_6878,-14707,6878,41,41.98344561547049,-87.66096736792385
-14694_6861,-14694,6861,41,41.89825031916235,-87.62595899437436
-14684_6832,-14684,6832,41,41.75265452173847,-87.66096736792385
-14696_6855,-14696,6855,40,41.86815421689773,-87.66485718720713
-14701_6869,-14701,6869,40,41.938356402376556,-87.64929791007401
-14710_6859,-14710,6859,40,41.88821986019843,-87.75821285000578
-14706_6858,-14706,6858,40,41.88320404003357,-87.73098411502284
-14700_6857,-14700,6857,40,41.87818782609015,-87.68819610290679
-14701_6854,-14701,6854,39,41.863136821663865,-87.70764519932315
-14695_6860,-14695,6860,39,41.893235286577195,-87.63762845222419
-14711_6885,-14711,6885,39,42.01849294381506,-87.66485718720713
-14672_6833,-14672,6833,39,41.757680577663535,-87.56372188584191
-14711_6883,-14711,6883,39,42.00848139120921,-87.67263682577367
-14699_6858,-14699,6858,39,41.88320404003357,-87.67652664505695
-14708_6858,-14708,6858,39,41.88320404003357,-87.74654339215594
-14668_6828,-14668,6828,38,41.73254636233219,-87.55205242799208
