hex_id,hex_q,hex_r,count,centroid_lat,centroid_lon
-7352_3428,-7352,3428,216,41.87317121837568,-87.72320447645627
-7351_3427,-7351,3427,210,41.863136821663865,-87.71542483788973
-7353_3429,-7353,3429,197,41.88320404003357,-87.73098411502284
-7354_3429,-7354,3429,190,41.88320404003357,-87.74654339215594
-7355_3429,-7355,3429,179,41.88320404003357,-87.76210266928904
-7355_3430,-7355,3430,172,41.893235286577195,-87.75432303072249
-7353_3428,-7353,3428,171,41.87317121837568,-87.73876375358938
-7353_3430,-7353,3430,161,41.893235286577195,-87.72320447645627
-7338_3416,-7338,3416,149,41.75265452173847,-87.5987302593914
-7354_3431,-7354,3431,143,41.90326495794641,-87.73098411502284
-7342_3417,-7342,3417,143,41.762706240002274,-87.65318772935727
-7337_3417,-7337,3417,142,41.762706240002274,-87.57539134369176
-7344_3420,-7344,3420,137,41.79285194828347,-87.66096736792383
-7340_3418,-7340,3418,128,41.7727563838894,-87.61428953652454
-7344_3419,-7344,3419,124,41.782804953337255,-87.66874700649039
-7342_3416,-7342,3416,121,41.75265452173847,-87.66096736792383
-7350_3428,-7350,3428,119,41.87317121837568,-87.69208592219006
-7338_3417,-7338,3417,119,41.762706240002274,-87.59095062082484
-7352_3430,-7352,3430,119,41.893235286577195,-87.70764519932317
-7344_3418,-7344,3418,119,41.7727563838894,-87.67652664505697
-7338_3415,-7338,3415,117,41.74260122916078,-87.60650989795799
-7342_3418,-7342,3418,115,41.7727563838894,-87.64540809079074
-7339_3416,-7339,3416,114,41.75265452173847,-87.61428953652454
-7343_3419,-7343,3419,113,41.782804953337255,-87.65318772935727
-7337_3411,-7337,3411,113,41.702372316973985,-87.62206917509108
-7356_3431,-7356,3431,111,41.90326495794641,-87.76210266928904
-7335_3416,-7335,3416,110,41.75265452173847,-87.55205242799208
-7345_3421,-7345,3421,110,41.80289736866588,-87.66874700649039
-7352_3427,-7352,3427,108,41.863136821663865,-87.73098411502284
-7343_3420,-7343,3420,108,41.79285194828347,-87.64540809079074
-7351_3429,-7351,3429,108,41.88320404003357,-87.69986556075662
-7353_3431,-7353,3431,108,41.90326495794641,-87.71542483788973
-7336_3416,-7336,3416,107,41.75265452173847,-87.5676117051252
-7341_3416,-7341,3416,105,41.75265452173847,-87.64540809079074
-7351_3428,-7351,3428,105,41.87317121837568,-87.70764519932317
-7350_3426,-7350,3426,104,41.85310084995869,-87.70764519932317
-7341_3417,-7341,3417,103,41.762706240002274,-87.6376284522242
-7340_3417,-7340,3417,103,41.762706240002274,-87.62206917509108
-7342_3420,-7342,3420,103,41.79285194828347,-87.62984881365765
-7350_3425,-7350,3425,103,41.8430633033209,-87.71542483788973
-7351_3425,-7351,3425,102,41.8430633033209,-87.73098411502284
-7346_3419,-7346,3419,102,41.782804953337255,-87.69986556075662
-7345_3420,-7345,3420,100,41.79285194828347,-87.67652664505697
-7345_3419,-7345,3419,99,41.782804953337255,-87.6843062836235
-7356_3430,-7356,3430,99,41.893235286577195,-87.7698823078556
-7335_3415,-7335,3415,98,41.74260122916078,-87.55983206655866
-7336_3409,-7336,3409,97,41.68224841664469,-87.62206917509108
-7341_3419,-7341,3419,97,41.782804953337255,-87.62206917509108
-7343_3417,-7343,3417,96,41.762706240002274,-87.66874700649039
-7352_3429,-7352,3429,96,41.88320404003357,-87.71542483788973
-7336_3417,-7336,3417,95,41.762706240002274,-87.55983206655866
-7343_3418,-7343,3418,95,41.7727563838894,-87.66096736792383
-7340_3419,-7340,3419,95,41.782804953337255,-87.60650989795799
-7351_3426,-7351,3426,94,41.85310084995869,-87.72320447645627
-7337_3410,-7337,3410,93,41.69231115377578,-87.62984881365765
-7342_3421,-7342,3421,89,41.80289736866588,-87.62206917509108
-7347_3427,-7347,3427,87,41.863136821663865,-87.65318772935727
-7340_3416,-7340,3416,84,41.75265452173847,-87.62984881365765
-7338_3418,-7338,3418,83,41.7727563838894,-87.5831709822583
-7350_3427,-7350,3427,80,41.863136821663865,-87.69986556075662
-7342_3422,-7342,3422,80,41.8129412144225,-87.61428953652454
-7336_3410,-7336,3410,80,41.69231115377578,-87.61428953652454
-7354_3428,-7354,3428,78,41.87317121837568,-87.75432303072249
-7337_3416,-7337,3416,77,41.75265452173847,-87.5831709822583
-7341_3414,-7341,3414,77,41.73254636233219,-87.66096736792383
-7337_3409,-7337,3409,76,41.68224841664469,-87.6376284522242
-7344_3421,-7344,3421,76,41.80289736866588,-87.65318772935727
-7341_3415,-7341,3415,76,41.74260122916078,-87.65318772935727
-7339_3417,-7339,3417,74,41.762706240002274,-87.60650989795799
-7344_3417,-7344,3417,74,41.762706240002274,-87.6843062836235
-7349_3426,-7349,3426,70,41.85310084995869,-87.69208592219006
-7343_3423,-7343,3423,69,41.822983485491555,-87.62206917509108
-7334_3414,-7334,3414,69,41.73254636233219,-87.55205242799208
-7348_3431,-7348,3431,68,41.90326495794641,-87.6376284522242
-7347_3422,-7347,3422,67,41.8129412144225,-87.69208592219006
-7342_3419,-7342,3419,67,41.782804953337255,-87.6376284522242
-7348_3426,-7348,3426,67,41.85310084995869,-87.67652664505697
-7355_3431,-7355,3431,67,41.90326495794641,-87.74654339215594
-7336_3408,-7336,3408,65,41.67218410564494,-87.62984881365765
-7341_3418,-7341,3418,65,41.7727563838894,-87.62984881365765
-7350_3429,-7350,3429,63,41.88320404003357,-87.6843062836235
-7356_3432,-7356,3432,61,41.91329305408127,-87.75432303072249
-7357_3432,-7357,3432,61,41.91329305408127,-87.7698823078556
-7342_3415,-7342,3415,61,41.74260122916078,-87.66874700649039
-7346_3420,-7346,3420,60,41.79285194828347,-87.69208592219006
-7340_3414,-7340,3414,59,41.73254636233219,-87.64540809079074
-7345_3422,-7345,3422,58,41.8129412144225,-87.66096736792383
-7345_3426,-7345,3426,57,41.85310084995869,-87.62984881365765
-7352_3437,-7352,3437,57,41.96340990415634,-87.65318772935727
-7345_3418,-7345,3418,55,41.7727563838894,-87.69208592219006
-7337_3418,-7337,3418,55,41.7727563838894,-87.5676117051252
-7348_3423,-7348,3423,53,41.822983485491555,-87.69986556075662
-7343_3422,-7343,3422,51,41.8129412144225,-87.62984881365765
-7337_3408,-7337,3408,51,41.67218410564494,-87.64540809079074
-7337_3414,-7337,3414,50,41.73254636233219,-87.5987302593914
-7341_3420,-7341,3420,50,41.79285194828347,-87.61428953652454
-7339_3418,-7339,3418,50,41.7727563838894,-87.5987302593914
-7352_3432,-7352,3432,48,41.91329305408127,-87.69208592219006
-7340_3415,-7340,3415,47,41.74260122916078,-87.6376284522242
-7347_3426,-7347,3426,47,41.85310084995869,-87.66096736792383
-7352_3431,-7352,3431,47,41.90326495794641,-87.69986556075662
-7344_3425,-7344,3425,47,41.8430633033209,-87.62206917509108
-7337_3413,-7337,3413,47,41.7224899213159,-87.60650989795799
-7338_3412,-7338,3412,46,41.71243190617529,-87.62984881365765
-7336_3415,-7336,3415,46,41.74260122916078,-87.57539134369176
-7333_3406,-7333,3406,46,41.652050762297264,-87.5987302593914
-7354_3433,-7354,3433,45,41.92331957492203,-87.71542483788973
-7358_3433,-7358,3433,44,41.92331957492203,-87.77766194642214
-7334_3415,-7334,3415,44,41.74260122916078,-87.54427278942553
-7347_3430,-7347,3430,44,41.893235286577195,-87.62984881365765
-7344_3423,-7344,3423,43,41.822983485491555,-87.6376284522242
-7338_3411,-7338,3411,43,41.702372316973985,-87.6376284522242
-7353_3432,-7353,3432,43,41.91329305408127,-87.70764519932317
-7339_3413,-7339,3413,43,41.7224899213159,-87.6376284522242
-7338_3409,-7338,3409,42,41.68224841664469,-87.65318772935727
-7338_3410,-7338,3410,42,41.69231115377578,-87.64540809079074
-7339_3414,-7339,3414,42,41.73254636233219,-87.62984881365765
-7339_3412,-7339,3412,42,41.71243190617529,-87.64540809079074
-7343_3416,-7343,3416,42,41.75265452173847,-87.67652664505697
-7354_3430,-7354,3430,41,41.893235286577195,-87.73876375358938
-7342_3423,-7342,3423,41,41.822983485491555,-87.60650989795799
-7354_3432,-7354,3432,41,41.91329305408127,-87.72320447645627
-7347_3420,-7347,3420,41,41.79285194828347,-87.70764519932317
-7356_3437,-7356,3437,41,41.96340990415634,-87.71542483788973
-7349_3425,-7349,3425,41,41.8430633033209,-87.69986556075662
-7338_3414,-7338,3414,40,41.73254636233219,-87.61428953652454
-7336_3413,-7336,3413,40,41.7224899213159,-87.59095062082484
-7354_3434,-7354,3434,39,41.93334452040916,-87.70764519932317
-7356_3443,-7356,3443,39,42.02349812915566,-87.66874700649039
-7340_3413,-7340,3413,39,41.7224899213159,-87.65318772935727
-7338_3413,-7338,3413,39,41.7224899213159,-87.62206917509108
-7350_3431,-7350,3431,38,41.90326495794641,-87.66874700649039
-7341_3421,-7341,3421,37,41.80289736866588,-87.60650989795799
-7352_3426,-7352,3426,37,41.85310084995869,-87.73876375358938
-7334_3412,-7334,3412,36,41.71243190617529,-87.5676117051252
-7357_3431,-7357,3431,36,41.90326495794641,-87.77766194642214
-7346_3422,-7346,3422,36,41.8129412144225,-87.67652664505697
-7353_3438,-7353,3438,36,41.97342854763756,-87.66096736792383
-7336_3411,-7336,3411,35,41.702372316973985,-87.60650989795799
-7348_3422,-7348,3422,35,41.8129412144225,-87.70764519932317
-7346_3421,-7346,3421,35,41.80289736866588,-87.6843062836235
-7337_3412,-7337,3412,35,41.71243190617529,-87.61428953652454
-7355_3434,-7355,3434,35,41.93334452040916,-87.72320447645627
-7335_3408,-7335,3408,35,41.67218410564494,-87.61428953652454
-7343_3424,-7343,3424,34,41.83302418181147,-87.61428953652454
-7348_3427,-7348,3427,34,41.863136821663865,-87.66874700649039
-7335_3413,-7335,3413,34,41.7224899213159,-87.57539134369176
-7356_3442,-7356,3442,33,42.01348736449719,-87.67652664505697
-7341_3422,-7341,3422,33,41.8129412144225,-87.5987302593914
-7354_3440,-7354,3440,32,41.99346110759678,-87.66096736792383
-7355_3433,-7355,3433,32,41.92331957492203,-87.73098411502284
-7350_3424,-7350,3424,31,41.83302418181147,-87.72320447645627
-7339_3415,-7339,3415,31,41.74260122916078,-87.62206917509108
-7334_3406,-7334,3406,31,41.652050762297264,-87.61428953652454
-7355_3432,-7355,3432,31,41.91329305408127,-87.73876375358938
-7351_3431,-7351,3431,30,41.90326495794641,-87.6843062836235
-7355_3441,-7355,3441,30,42.00347502395832,-87.66874700649039
-7356_3433,-7356,3433,29,41.92331957492203,-87.74654339215594
-7356_3438,-7356,3438,29,41.97342854763756,-87.70764519932317
-7343_3421,-7343,3421,29,41.80289736866588,-87.6376284522242
-7337_3415,-7337,3415,28,41.74260122916078,-87.59095062082484
-7356_3429,-7356,3429,27,41.88320404003357,-87.77766194642214
-7347_3419,-7347,3419,26,41.782804953337255,-87.71542483788973
-7339_3410,-7339,3410,25,41.69231115377578,-87.66096736792383
-7333_3411,-7333,3411,25,41.702372316973985,-87.55983206655866
-7357_3433,-7357,3433,25,41.92331957492203,-87.76210266928904
-7334_3407,-7334,3407,25,41.66211822084092,-87.60650989795799
-7339_3409,-7339,3409,25,41.68224841664469,-87.66874700649039
-7355_3436,-7355,3436,25,41.95338968508535,-87.70764519932317
-7332_3412,-7332,3412,25,41.71243190617529,-87.53649315085902
-7349_3430,-7349,3430,25,41.893235286577195,-87.66096736792383
-7346_3428,-7346,3428,23,41.87317121837568,-87.62984881365765
-7349_3429,-7349,3429,23,41.88320404003357,-87.66874700649039
-7346_3418,-7346,3418,23,41.7727563838894,-87.70764519932317
-7344_3415,-7344,3415,23,41.74260122916078,-87.69986556075662
-7339_3419,-7339,3419,23,41.782804953337255,-87.59095062082484
-7340_3421,-7340,3421,22,41.80289736866588,-87.59095062082484
-7348_3430,-7348,3430,22,41.893235286577195,-87.64540809079074
-7347_3421,-7347,3421,22,41.80289736866588,-87.69986556075662
-7357_3434,-7357,3434,22,41.93334452040916,-87.75432303072249
