hex_id,time_bin,season,count
-14657_6812,Night (00-05),Winter,0
-14657_6812,Night (00-05),Spring,0
-14657_6812,Night (00-05),Summer,0
-14657_6812,Night (00-05),Fall,0
-14657_6812,Morning (06-11),Winter,0
-14657_6812,Morning (06-11),Spring,0
-14657_6812,Morning (06-11),Summer,0
-14657_6812,Morning (06-11),Fall,0
-14657_6812,Afternoon (12-17),Winter,1
-14657_6812,Afternoon (12-17),Spring,0
-14657_6812,Afternoon (12-17),Summer,0
-14657_6812,Afternoon (12-17),Fall,0
-14657_6812,Evening (18-23),Winter,0
-14657_6812,Evening (18-23),Spring,0
-14657_6812,Evening (18-23),Summer,2
-14657_6812,Evening (18-23),Fall,0
-14658_6812,Night (00-05),Winter,0
-14658_6812,Night (00-05),Spring,1
-14658_6812,Night (00-05),Summer,0
-14658_6812,Night (00-05),Fall,0
-14658_6812,Morning (06-11),Winter,0
-14658_6812,Morning (06-11),Spring,1
-14658_6812,Morning (06-11),Summer,0
-14658_6812,Morning (06-11),Fall,0
-14658_6812,Afternoon (12-17),Winter,0
-14658_6812,Afternoon (12-17),Spring,1
-14658_6812,Afternoon (12-17),Summer,0
-14658_6812,Afternoon (12-17),Fall,0
-14658_6812,Evening (18-23),Winter,0
-14658_6812,Evening (18-23),Spring,0
-14658_6812,Evening (18-23),Summer,0
-14658_6812,Evening (18-23),Fall,0
-14659_6812,Night (00-05),Winter,0
-14659_6812,Night (00-05),Spring,0
-14659_6812,Night (00-05),Summer,1
-14659_6812,Night (00-05),Fall,0
-14659_6812,Morning (06-11),Winter,0
-14659_6812,Morning (06-11),Spring,0
-14659_6812,Morning (06-11),Summer,0
-14659_6812,Morning (06-11),Fall,0
-14659_6812,Afternoon (12-17),Winter,0
-14659_6812,Afternoon (12-17),Spring,0
-14659_6812,Afternoon (12-17),Summer,0
-14659_6812,Afternoon (12-17),Fall,0
-14659_6812,Evening (18-23),Winter,0
-14659_6812,Evening (18-23),Spring,0
-14659_6812,Evening (18-23),Summer,0
-14659_6812,Evening (18-23),Fall,0
-14660_6813,Night (00-05),Winter,0
-14660_6813,Night (00-05),Spring,0
-14660_6813,Night (00-05),Summer,0
-14660_6813,Night (00-05),Fall,0
-14660_6813,Morning (06-11),Winter,0
-14660_6813,Morning (06-11),Spring,0
-14660_6813,Morning (06-11),Summer,0
-14660_6813,Morning (06-11),Fall,0
-14660_6813,Afternoon (12-17),Winter,1
-14660_6813,Afternoon (12-17),Spring,1
-14660_6813,Afternoon (12-17),Summer,2
-14660_6813,Afternoon (12-17),Fall,0
-14660_6813,Evening (18-23),Winter,0
-14660_6813,Evening (18-23),Spring,0
-14660_6813,Evening (18-23),Summer,0
-14660_6813,Evening (18-23),Fall,1
-14660_6815,Night (00-05),Winter,0
-14660_6815,Night (00-05),Spring,0
-14660_6815,Night (00-05),Summer,1
-14660_6815,Night (00-05),Fall,0
-14660_6815,Morning (06-11),Winter,0
-14660_6815,Morning (06-11),Spring,0
-14660_6815,Morning (06-11),Summer,0
-14660_6815,Morning (06-11),Fall,0
-14660_6815,Afternoon (12-17),Winter,0
-14660_6815,Afternoon (12-17),Spring,0
-14660_6815,Afternoon (12-17),Summer,0
-14660_6815,Afternoon (12-17),Fall,0
-14660_6815,Evening (18-23),Winter,0
-14660_6815,Evening (18-23),Spring,0
-14660_6815,Evening (18-23),Summer,0
-14660_6815,Evening (18-23),Fall,0
-14660_6816,Night (00-05),Winter,0
-14660_6816,Night (00-05),Spring,0
-14660_6816,Night (00-05),Summer,0
-14660_6816,Night (00-05),Fall,0
-14660_6816,Morning (06-11),Winter,0
-14660_6816,Morning (06-11),Spring,0
-14660_6816,Morning (06-11),Summer,0
-14660_6816,Morning (06-11),Fall,0
-14660_6816,Afternoon (12-17),Winter,0
-14660_6816,Afternoon (12-17),Spring,0
-14660_6816,Afternoon (12-17),Summer,0
-14660_6816,Afternoon (12-17),Fall,0
-14660_6816,Evening (18-23),Winter,0
-14660_6816,Evening (18-23),Spring,0
-14660_6816,Evening (18-23),Summer,0
-14660_6816,Evening (18-23),Fall,1
-14661_6812,Night (00-05),Winter,0
-14661_6812,Night (00-05),Spring,0
-14661_6812,Night (00-05),Summer,0
-14661_6812,Night (00-05),Fall,0
-14661_6812,Morning (06-11),Winter,0
-14661_6812,Morning (06-11),Spring,0
-14661_6812,Morning (06-11),Summer,0
-14661_6812,Morning (06-11),Fall,0
-14661_6812,Afternoon (12-17),Winter,0
-14661_6812,Afternoon (12-17),Spring,0
-14661_6812,Afternoon (12-17),Summer,0
-14661_6812,Afternoon (12-17),Fall,0
-14661_6812,Evening (18-23),Winter,0
-14661_6812,Evening (18-23),Spring,0
-14661_6812,Evening (18-23),Summer,0
-14661_6812,Evening (18-23),Fall,1
-14661_6813,Night (00-05),Winter,0
-14661_6813,Night (00-05),Spring,0
-14661_6813,Night (00-05),Summer,0
-14661_6813,Night (00-05),Fall,0
-14661_6813,Morning (06-11),Winter,0
-14661_6813,Morning (06-11),Spring,0
-14661_6813,Morning (06-11),Summer,0
-14661_6813,Morning (06-11),Fall,0
-14661_6813,Afternoon (12-17),Winter,0
-14661_6813,Afternoon (12-17),Spring,0
-14661_6813,Afternoon (12-17),Summer,0
-14661_6813,Afternoon (12-17),Fall,1
-14661_6813,Evening (18-23),Winter,0
-14661_6813,Evening (18-23),Spring,1
-14661_6813,Evening (18-23),Summer,0
-14661_6813,Evening (18-23),Fall,0
-14661_6819,Night (00-05),Winter,0
-14661_6819,Night (00-05),Spring,1
-14661_6819,Night (00-05),Summer,0
-14661_6819,Night (00-05),Fall,0
-14661_6819,Morning (06-11),Winter,0
-14661_6819,Morning (06-11),Spring,0
-14661_6819,Morning (06-11),Summer,0
-14661_6819,Morning (06-11),Fall,0
-14661_6819,Afternoon (12-17),Winter,0
-14661_6819,Afternoon (12-17),Spring,0
-14661_6819,Afternoon (12-17),Summer,0
-14661_6819,Afternoon (12-17),Fall,0
-14661_6819,Evening (18-23),Winter,0
-14661_6819,Evening (18-23),Spring,0
-14661_6819,Evening (18-23),Summer,0
-14661_6819,Evening (18-23),Fall,0
-14661_6820,Night (00-05),Winter,0
-14661_6820,Night (00-05),Spring,0
-14661_6820,Night (00-05),Summer,0
-14661_6820,Night (00-05),Fall,0
-14661_6820,Morning (06-11),Winter,0
-14661_6820,Morning (06-11),Spring,0
-14661_6820,Morning (06-11),Summer,0
-14661_6820,Morning (06-11),Fall,0
-14661_6820,Afternoon (12-17),Winter,1
-14661_6820,Afternoon (12-17),Spring,0
-14661_6820,Afternoon (12-17),Summer,0
-14661_6820,Afternoon (12-17),Fall,0
-14661_6820,Evening (18-23),Winter,0
-14661_6820,Evening (18-23),Spring,0
-14661_6820,Evening (18-23),Summer,0
-14661_6820,Evening (18-23),Fall,0
-14661_6821,Night (00-05),Winter,0
-14661_6821,Night (00-05),Spring,0
-14661_6821,Night (00-05),Summer,0
-14661_6821,Night (00-05),Fall,0
-14661_6821,Morning (06-11),Winter,0
-14661_6821,Morning (06-11),Spring,0
-14661_6821,Morning (06-11),Summer,1
-14661_6821,Morning (06-11),Fall,0
-14661_6821,Afternoon (12-17),Winter,0
-14661_6821,Afternoon (12-17),Spring,0
-14661_6821,Afternoon (12-17),Summer,0
-14661_6821,Afternoon (12-17),Fall,0
-14661_6821,Evening (18-23),Winter,0
-14661_6821,Evening (18-23),Spring,0
-14661_6821,Evening (18-23),Summer,0
-14661_6821,Evening (18-23),Fall,1
-14662_6815,Night (00-05),Winter,0
-14662_6815,Night (00-05),Spring,0
-14662_6815,Night (00-05),Summer,0
-14662_6815,Night (00-05),Fall,0
-14662_6815,Morning (06-11),Winter,0
-14662_6815,Morning (06-11),Spring,0
