hex_id,hex_q,hex_r,count,centroid_lat,centroid_lon
-14676_6831,-14676,6831,97,41.74762807223493,-87.6026200786747
-14705_6857,-14705,6857,93,41.87818782609015,-87.72709429573955
-14706_6857,-14706,6857,75,41.87818782609015,-87.7348739343061
-14706_6860,-14706,6860,66,41.893235286577195,-87.72320447645627
-14705_6860,-14705,6860,64,41.893235286577195,-87.71542483788971
-14704_6856,-14704,6856,63,41.87317121837568,-87.72320447645627
-14701_6853,-14701,6853,62,41.85811903268165,-87.71153501860644
-14677_6832,-14677,6832,62,41.75265452173847,-87.60650989795798
-14706_6861,-14706,6861,58,41.89825031916235,-87.71931465717297
-14703_6856,-14703,6856,58,41.87317121837568,-87.71542483788971
-14674_6835,-14674,6835,57,41.767731508746834,-87.57150152440849
-14695_6854,-14695,6854,56,41.863136821663865,-87.66096736792385
-14708_6857,-14708,6857,55,41.87818782609015,-87.75043321143923
-14688_6840,-14688,6840,55,41.792851948283484,-87.66096736792385
-14709_6857,-14709,6857,54,41.87818782609015,-87.75821285000578
-14710_6861,-14710,6861,53,41.89825031916235,-87.75043321143923
-14684_6831,-14684,6831,53,41.74762807223493,-87.66485718720713
-14707_6857,-14707,6857,53,41.87818782609015,-87.74265357287265
-14701_6854,-14701,6854,53,41.863136821663865,-87.70764519932315
-14686_6839,-14686,6839,53,41.78782864762697,-87.64929791007401
-14709_6859,-14709,6859,53,41.88821986019843,-87.75043321143923
-14702_6854,-14702,6854,52,41.863136821663865,-87.71542483788971
-14691_6844,-14691,6844,52,41.8129412144225,-87.66874700649038
-14705_6858,-14705,6858,50,41.88320404003357,-87.72320447645627
-14672_6833,-14672,6833,50,41.757680577663535,-87.56372188584191
-14710_6859,-14710,6859,50,41.88821986019843,-87.75821285000578
-14681_6838,-14681,6838,49,41.78280495333726,-87.61428953652451
-14707_6862,-14707,6862,49,41.90326495794641,-87.72320447645627
-14708_6858,-14708,6858,49,41.88320404003357,-87.74654339215594
-14704_6860,-14704,6860,49,41.893235286577195,-87.70764519932315
-14690_6837,-14690,6837,49,41.77778086542214,-87.68819610290679
-14708_6862,-14708,6862,48,41.90326495794641,-87.73098411502284
-14709_6858,-14709,6858,48,41.88320404003357,-87.75432303072246
-14702_6857,-14702,6857,48,41.87818782609015,-87.7037553800399
-14703_6854,-14703,6854,47,41.863136821663865,-87.72320447645627
-14684_6835,-14684,6835,47,41.767731508746834,-87.64929791007401
-14683_6840,-14683,6840,47,41.792851948283484,-87.62206917509108
-14678_6833,-14678,6833,47,41.757680577663535,-87.61039971724124
-14707_6856,-14707,6856,46,41.87317121837568,-87.74654339215594
-14703_6858,-14703,6858,46,41.88320404003357,-87.70764519932315
