hex_id,hex_q,hex_r,count,centroid_lat,centroid_lon
-14678_6829,-14678,6829,1692,41.7375739925239,-87.62595899437436
-14676_6831,-14676,6831,1408,41.74762807223493,-87.6026200786747
-14672_6833,-14672,6833,1187,41.757680577663535,-87.56372188584191
-14694_6860,-14694,6860,1132,41.893235286577195,-87.62984881365766
-14674_6835,-14674,6835,1088,41.767731508746834,-87.57150152440849
-14692_6856,-14692,6856,1078,41.87317121837568,-87.62984881365766
-14708_6857,-14708,6857,1021,41.87818782609015,-87.75043321143923
-14681_6835,-14681,6835,958,41.767731508746834,-87.62595899437436
-14704_6856,-14704,6856,955,41.87317121837568,-87.72320447645627
-14689_6852,-14689,6852,897,41.85310084995869,-87.62206917509108
-14710_6858,-14710,6858,888,41.88320404003357,-87.76210266928904
-14683_6840,-14683,6840,886,41.792851948283484,-87.62206917509108
-14706_6857,-14706,6857,875,41.87818782609015,-87.7348739343061
-14684_6831,-14684,6831,846,41.74762807223493,-87.66485718720713
-14694_6832,-14694,6832,846,41.75265452173847,-87.73876375358938
-14681_6838,-14681,6838,843,41.78280495333726,-87.61428953652451
-14691_6837,-14691,6837,839,41.77778086542214,-87.69597574147332
-14689_6836,-14689,6836,837,41.7727563838894,-87.68430628362349
-14672_6832,-14672,6832,828,41.75265452173847,-87.5676117051252
-14677_6832,-14677,6832,821,41.75265452173847,-87.60650989795798
-14707_6857,-14707,6857,819,41.87818782609015,-87.74265357287265
-14708_6858,-14708,6858,811,41.88320404003357,-87.74654339215594
-14677_6831,-14677,6831,805,41.74762807223493,-87.61039971724124
-14685_6845,-14685,6845,804,41.817962546796814,-87.6181793558078
-14708_6862,-14708,6862,796,41.90326495794641,-87.73098411502284
-14691_6855,-14691,6855,796,41.86815421689773,-87.62595899437436
-14678_6833,-14678,6833,793,41.757680577663535,-87.61039971724124
-14703_6855,-14703,6855,792,41.86815421689773,-87.71931465717297
-14711_6858,-14711,6858,792,41.88320404003357,-87.76988230785561
-14705_6857,-14705,6857,791,41.87818782609015,-87.72709429573955
-14684_6843,-14684,6843,790,41.807919488376285,-87.6181793558078
-14675_6836,-14675,6836,789,41.7727563838894,-87.57539134369176
-14707_6862,-14707,6862,784,41.90326495794641,-87.72320447645627
-14708_6863,-14708,6863,782,41.908279202921875,-87.72709429573955
-14706_6861,-14706,6861,775,41.89825031916235,-87.71931465717297
-14675_6834,-14675,6834,773,41.762706240002274,-87.58317098225831
