hex_id,time_bin,season,count
-14657_6812,Night (00-05),Winter,2
-14657_6812,Night (00-05),Spring,1
-14657_6812,Night (00-05),Summer,2
-14657_6812,Night (00-05),Fall,1
-14657_6812,Morning (06-11),Winter,4
-14657_6812,Morning (06-11),Spring,1
-14657_6812,Morning (06-11),Summer,1
-14657_6812,Morning (06-11),Fall,2
-14657_6812,Afternoon (12-17),Winter,2
-14657_6812,Afternoon (12-17),Spring,2
-14657_6812,Afternoon (12-17),Summer,5
-14657_6812,Afternoon (12-17),Fall,1
-14657_6812,Evening (18-23),Winter,7
-14657_6812,Evening (18-23),Spring,2
-14657_6812,Evening (18-23),Summer,5
-14657_6812,Evening (18-23),Fall,1
-14658_6811,Night (00-05),Winter,4
-14658_6811,Night (00-05),Spring,1
-14658_6811,Night (00-05),Summer,3
-14658_6811,Night (00-05),Fall,3
-14658_6811,Morning (06-11),Winter,14
-14658_6811,Morning (06-11),Spring,9
-14658_6811,Morning (06-11),Summer,11
-14658_6811,Morning (06-11),Fall,12
-14658_6811,Afternoon (12-17),Winter,3
-14658_6811,Afternoon (12-17),Spring,4
-14658_6811,Afternoon (12-17),Summer,5
-14658_6811,Afternoon (12-17),Fall,5
-14658_6811,Evening (18-23),Winter,5
-14658_6811,Evening (18-23),Spring,3
-14658_6811,Evening (18-23),Summer,4
-14658_6811,Evening (18-23),Fall,3
-14658_6812,Night (00-05),Winter,4
-14658_6812,Night (00-05),Spring,4
-14658_6812,Night (00-05),Summer,6
-14658_6812,Night (00-05),Fall,4
-14658_6812,Morning (06-11),Winter,3
-14658_6812,Morning (06-11),Spring,4
-14658_6812,Morning (06-11),Summer,3
-14658_6812,Morning (06-11),Fall,1
-14658_6812,Afternoon (12-17),Winter,1
-14658_6812,Afternoon (12-17),Spring,2
-14658_6812,Afternoon (12-17),Summer,3
-14658_6812,Afternoon (12-17),Fall,1
-14658_6812,Evening (18-23),Winter,8
-14658_6812,Evening (18-23),Spring,10
-14658_6812,Evening (18-23),Summer,10
-14658_6812,Evening (18-23),Fall,12
-14659_6811,Night (00-05),Winter,0
-14659_6811,Night (00-05),Spring,0
-14659_6811,Night (00-05),Summer,1
