hex_id,hex_q,hex_r,count,centroid_lat,centroid_lon,gi_z,gi_p,hotspot_tier,zone_id
-14676_6831,-14676,6831,97,41.74762807223493,-87.6026200786747,5.571427468406088,2.5266055025952028e-08,Hotspot 99%,1
-14705_6857,-14705,6857,93,41.87818782609015,-87.72709429573955,9.038321673315616,0.0,Hotspot 99%,2
-14706_6857,-14706,6857,75,41.87818782609015,-87.7348739343061,8.543051072614254,0.0,Hotspot 99%,2
-14706_6860,-14706,6860,66,41.893235286577195,-87.72320447645627,5.3674925151761155,7.983882044371171e-08,Hotspot 99%,2
-14705_6860,-14705,6860,64,41.893235286577195,-87.71542483788971,6.358033716578838,2.0435253489381466e-10,Hotspot 99%,2
-14704_6856,-14704,6856,63,41.87317121837568,-87.72320447645627,8.45565037837284,0.0,Hotspot 99%,2
-14701_6853,-14701,6853,62,41.85811903268165,-87.71153501860644,5.746228856888921,9.12557762688948e-09,Hotspot 99%,2
-14677_6832,-14677,6832,62,41.75265452173847,-87.60650989795798,6.82417075253306,8.843370480349222e-12,Hotspot 99%,1
-14706_6861,-14706,6861,58,41.89825031916235,-87.71931465717297,7.319441353234422,2.489120021209601e-13,Hotspot 99%,2
-14703_6856,-14703,6856,58,41.87317121837568,-87.71542483788971,5.717095292141782,1.083603562435087e-08,Hotspot 99%,2
-14674_6835,-14674,6835,57,41.767731508746834,-87.57150152440849,3.5320779361063646,0.0004123078203042141,Hotspot 99%,1
-14695_6854,-14695,6854,56,41.863136821663865,-87.66096736792385,1.9297318750137253,0.053640068337077684,Hotspot 90%,0
-14708_6857,-14708,6857,55,41.87818782609015,-87.75043321143923,7.261174223740143,3.836930773104541e-13,Hotspot 99%,2
-14688_6840,-14688,6840,55,41.79285194828349,-87.66096736792385,3.677745759842059,0.00023530432232443665,Hotspot 99%,1
-14709_6857,-14709,6857,54,41.87818782609015,-87.75821285000578,5.454893209417532,4.900228578463839e-08,Hotspot 99%,2
-14710_6861,-14710,6861,53,41.89825031916235,-87.75043321143923,3.881680713072032,0.00010373702124732986,Hotspot 99%,2
-14684_6831,-14684,6831,53,41.74762807223493,-87.66485718720713,2.803738817427892,0.005051380677584483,Hotspot 99%,1
-14707_6857,-14707,6857,53,41.87818782609015,-87.74265357287265,8.193448295648588,2.220446049250313e-16,Hotspot 99%,2
-14701_6854,-14701,6854,53,41.863136821663865,-87.70764519932315,4.493485572761949,7.006677041454523e-06,Hotspot 99%,2
-14686_6839,-14686,6839,53,41.78782864762697,-87.64929791007401,4.4352184432676705,9.197897409274347e-06,Hotspot 99%,1
-14709_6859,-14709,6859,53,41.88821986019843,-87.75043321143923,6.008430939613171,1.8732737583349035e-09,Hotspot 99%,2
-14702_6854,-14702,6854,52,41.863136821663865,-87.71542483788971,6.591102234555949,4.365729999733503e-11,Hotspot 99%,2
-14691_6844,-14691,6844,52,41.8129412144225,-87.66874700649038,2.5054637558867334,0.01222909311346787,Hotspot 95%,1
-14705_6858,-14705,6858,50,41.88320404003357,-87.72320447645627,5.2800918209346985,1.2911916358326891e-07,Hotspot 99%,2
-14672_6833,-14672,6833,50,41.757680577663535,-87.56372188584191,4.376951313773393,1.2035084375305871e-05,Hotspot 99%,1
