crime_variable,quantile_bin,n,rho_spearman,p_value
arson,Q1_low,320,0.5924463266619724,1.0542664866041603e-31
arson,Q2,299,0.5086796687533416,4.405639383396137e-21
arson,Q3,311,0.7745925226843344,1.9317738508056847e-63
arson,Q4,299,0.7393892627890527,5.873632263227696e-53
arson,Q5_high,295,0.7764952959733419,1.0201513904265277e-60
assault,Q1_low,320,0.7258281272464868,1.3079491850998344e-53
assault,Q2,299,0.6990836135103085,3.5913530147429514e-45
assault,Q3,311,0.851394849598509,1.360770971136265e-88
assault,Q4,299,0.8960769798484698,9.032383914928132e-107
assault,Q5_high,295,0.8685472551377147,2.5349405541333977e-91
battery,Q1_low,320,0.7223410605692018,7.107343562666327e-53
battery,Q2,299,0.6833485941437054,1.7869003411709876e-42
battery,Q3,311,0.8476829075678303,4.533519526693335e-87
battery,Q4,299,0.9036093957962316,2.2664819001407496e-111
battery,Q5_high,295,0.898057645788998,1.6246631873748784e-106
burglary,Q1_low,320,0.5295973457712646,1.5612734967947986e-24
burglary,Q2,299,0.6219062838687951,2.145568840309412e-33
burglary,Q3,311,0.7795961189288946,9.244414439878735e-65
burglary,Q4,299,0.81479484491012,2.7276331878522716e-72
burglary,Q5_high,295,0.7626360669519713,2.2174411666095018e-57
concealed_carry_license_violation,Q1_low,320,0.43481436927386824,3.4304244793311457e-16
concealed_carry_license_violation,Q2,299,0.18718029891211954,0.0011464399853343612
concealed_carry_license_violation,Q3,311,0.39364950928901227,5.711278495841052e-13
concealed_carry_license_violation,Q4,299,0.36797909448945565,5.092895930396247e-11
concealed_carry_license_violation,Q5_high,295,0.5134950790859075,3.0135567211139275e-21
criminal_damage,Q1_low,320,0.6779493788967869,2.07674303029317e-44
criminal_damage,Q2,299,0.6487239082853183,4.231011321846719e-37
criminal_damage,Q3,311,0.8126435208110353,1.9168014621831927e-74
criminal_damage,Q4,299,0.8863328017950614,2.560616244242005e-101
criminal_damage,Q5_high,295,0.856875235546725,2.6519903254910937e-86
criminal_sexual_assault,Q1_low,320,0.585146326808413,8.647193990690545e-31
criminal_sexual_assault,Q2,299,0.5377602686903845,8.25771169041999e-24
criminal_sexual_assault,Q3,311,0.7239855597757633,9.205118848388613e-52
criminal_sexual_assault,Q4,299,0.7888012082500623,9.761065834342212e-65
criminal_sexual_assault,Q5_high,295,0.7606249372345111,6.473693958288334e-57
criminal_trespass,Q1_low,320,0.6551399201172694,1.2948183126967634e-40
criminal_trespass,Q2,299,0.5834675925495694,1.138200380615219e-28
criminal_trespass,Q3,311,0.777018133956894,4.4699604153587546e-64
criminal_trespass,Q4,299,0.8050592701656751,2.5009236434490427e-69
criminal_trespass,Q5_high,295,0.7348942513876559,2.4269811327524454e-51
deceptive_practice,Q1_low,320,0.5433417571523146,5.65746394873946e-26
deceptive_practice,Q2,299,0.520650914513769,3.5728919725687953e-22
deceptive_practice,Q3,311,0.677284120586819,4.351840747204916e-43
deceptive_practice,Q4,299,0.7646021011787254,1.3196744455273166e-58
deceptive_practice,Q5_high,295,0.6995096954246998,1.1651877134319828e-44
human_trafficking,Q1_low,320,0.0616074330679145,0.2718559222981937
human_trafficking,Q2,299,0.06278381419267533,0.2791840092674704
human_trafficking,Q3,311,0.2341860477558682,3.026835874513066e-05
human_trafficking,Q4,299,0.2725387464168429,1.7204826993897469e-06
human_trafficking,Q5_high,295,0.1891097435466115,0.0010993823429719823
interference_with_public_officer,Q1_low,320,0.6349820958372123,1.5927848301285956e-37
interference_with_public_officer,Q2,299,0.5529056822287952,2.4469463940967406e-25
interference_with_public_officer,Q3,311,0.8145420359739824,4.660419947664209e-75
interference_with_public_officer,Q4,299,0.8285786431561025,8.486326187084313e-77
interference_with_public_officer,Q5_high,295,0.8493743061653418,2.6291682806937633e-83
intimidation,Q1_low,320,0.5753733011249917,1.3331176117401837e-29
intimidation,Q2,299,0.450268730556652,2.4753028633574755e-16
intimidation,Q3,311,0.6650565487252896,4.475910626775997e-41
intimidation,Q4,299,0.6826802949859784,2.3061098375544066e-42
intimidation,Q5_high,295,0.5646729231391843,3.039472368254154e-26
kidnapping,Q1_low,320,0.32942621550176343,1.5478588543652611e-09
kidnapping,Q2,299,0.4780791517719302,1.7592243030104505e-18
kidnapping,Q3,311,0.6447988114785769,6.066886932979515e-38
kidnapping,Q4,299,0.6907659991720344,1.0054109511698671e-43
kidnapping,Q5_high,295,0.7133014604823203,3.827675325812859e-47
liquor_law_violation,Q1_low,320,0.503960151644528,5.14991110005788e-22
liquor_law_violation,Q2,299,0.35722119769686766,1.9888252438497937e-10
liquor_law_violation,Q3,311,0.5359641924220374,1.5927930661955079e-24
liquor_law_violation,Q4,299,0.5571547271122871,8.825571593555819e-26
liquor_law_violation,Q5_high,295,0.6064193743717112,5.171774940789659e-31
motor_vehicle_theft,Q1_low,320,0.6763296296653906,3.964127264987738e-44
motor_vehicle_theft,Q2,299,0.6419147623932461,4.001460756605199e-36
motor_vehicle_theft,Q3,311,0.8089041834076985,2.964759699451305e-73
motor_vehicle_theft,Q4,299,0.8081607094461999,2.9706860145620597e-70
motor_vehicle_theft,Q5_high,295,0.798992586389574,1.1146416453823128e-66
narcotics,Q1_low,320,0.6802091346345804,8.368630580406438e-45
narcotics,Q2,299,0.6031450475472554,5.218629779964478e-31
narcotics,Q3,311,0.8670961999862409,1.584400433385616e-95
narcotics,Q4,299,0.8821292670344428,4.059593894375236e-99
narcotics,Q5_high,295,0.866487524861049,2.108689466252367e-90
obscenity,Q1_low,320,0.34012600175663293,4.1627612662073674e-10
obscenity,Q2,299,0.2001354120293693,0.0004986936965413444
obscenity,Q3,311,0.3100336413354728,2.3549671874372613e-08
obscenity,Q4,299,0.370988546838854,3.447339632675737e-11
obscenity,Q5_high,295,0.37074665557804865,4.813190118699371e-11
offense_involving_children,Q1_low,320,0.5333019160905575,6.480210914376019e-25
offense_involving_children,Q2,299,0.6492761208193859,3.517337194347835e-37
offense_involving_children,Q3,311,0.820178707208906,6.347373552813578e-77
offense_involving_children,Q4,299,0.8173694464443046,4.1979080752092254e-73
offense_involving_children,Q5_high,295,0.7952301082204537,1.2470189807426006e-65
other_offense,Q1_low,320,0.6854819284854309,9.719728349475661e-46
other_offense,Q2,299,0.6333705761969503,6.19776220633665e-35
other_offense,Q3,311,0.8111159028419409,5.911348767754115e-74
other_offense,Q4,299,0.8764189261076695,2.9267787238582407e-96
other_offense,Q5_high,295,0.8584402318670759,5.982163298594162e-87
prostitution,Q1_low,320,0.5671193021036898,1.2521839361540887e-28
prostitution,Q2,299,0.3776403294443572,1.434204526272979e-11
prostitution,Q3,311,0.6021920619632875,4.4916172431173965e-32
prostitution,Q4,299,0.6050163982926304,3.066491979854927e-31
prostitution,Q5_high,295,0.5554936564544248,2.773557572367524e-25
public_indecency,Q1_low,320,0.27756570396565416,4.5281927627075495e-07
public_indecency,Q2,299,0.19706752381903886,0.0006102676462234957
public_indecency,Q3,311,0.1448510459703353,0.01053691493920644
public_indecency,Q4,299,0.15654552675097083,0.006681218712096957
public_indecency,Q5_high,295,0.13667082414068782,0.018851091928165198
public_peace_violation,Q1_low,320,0.6276600026811313,1.856243824098653e-36
public_peace_violation,Q2,299,0.5553217741924001,1.372684707185559e-25
public_peace_violation,Q3,311,0.7519589498380849,7.205853317123762e-58
public_peace_violation,Q4,299,0.7490905496700604,4.736266384266767e-55
public_peace_violation,Q5_high,295,0.7627594319877637,2.07567598395895e-57
robbery,Q1_low,320,0.6723134654098936,1.93469252807227e-43
robbery,Q2,299,0.7265666460069137,2.4934724584343728e-50
robbery,Q3,311,0.8222233551129102,1.286896415966342e-77
robbery,Q4,299,0.8635204244992488,2.695255338194497e-90
robbery,Q5_high,295,0.823975681096297,2.932339705881985e-74
sex_offense,Q1_low,320,0.6165227095697303,6.87641538557011e-35
sex_offense,Q2,299,0.5029805014291682,1.4076103519312483e-20
sex_offense,Q3,311,0.7435839725484776,5.876368213161301e-56
sex_offense,Q4,299,0.76485527462761,1.1486213848391918e-58
sex_offense,Q5_high,295,0.7227338765619359,6.2830336399415896e-49
stalking,Q1_low,320,0.5415613282892202,8.770260920536054e-26
stalking,Q2,299,0.41291182447865143,9.706630276459814e-14
stalking,Q3,311,0.6612922565180448,1.7837437127571813e-40
stalking,Q4,299,0.684273386016117,1.2540456709570304e-42
stalking,Q5_high,295,0.6182315403333637,1.7092282935816736e-32
theft,Q1_low,320,0.5967688674610092,2.9562458448923834e-32
theft,Q2,299,0.5524816395989962,2.7069245070644724e-25
theft,Q3,311,0.7190201552727381,9.328170268608323e-51
theft,Q4,299,0.7239416356434828,8.249330648219546e-50
theft,Q5_high,295,0.7151939309102114,1.7008617391418575e-47
weapons_violation,Q1_low,320,0.6758057355952262,4.88173654262327e-44
weapons_violation,Q2,299,0.6646635677459014,1.7444126342135462e-39
weapons_violation,Q3,311,0.8845144240542743,2.4455185009103576e-104
weapons_violation,Q4,299,0.9115111697896323,1.266296010238044e-116
weapons_violation,Q5_high,295,0.9198275937374072,4.382571808051577e-121
gambling,Q1_low,320,0.45134708535210455,1.8225883840162664e-17
gambling,Q2,299,0.5125622940853548,1.9718520655148747e-21
gambling,Q3,311,0.714998948110152,5.868451708400552e-50
gambling,Q4,299,0.8345678171065826,6.965286497966761e-79
gambling,Q5_high,295,0.7549575449896407,1.253210330450792e-55
crim_sexual_assault,Q1_low,320,0.6291355136519244,1.1376642573271526e-36
crim_sexual_assault,Q2,299,0.6480080729919429,5.372784644041084e-37
crim_sexual_assault,Q3,311,0.8120110857595331,3.0592248692105353e-74
crim_sexual_assault,Q4,299,0.8884728097758681,1.7974332215999138e-102
crim_sexual_assault,Q5_high,295,0.8632658534191313,5.4041743553473834e-89
