variable,z_percentile,n,rho_spearman,p_value
arson,1,16,0.7051426382369971,0.00228072249586149
arson,2,15,0.020464323310205642,0.9422925204208006
arson,3,15,0.33086930789948615,0.22836631426997225
arson,4,15,0.15168793027429117,0.5894331556540748
arson,5,16,0.3507560358910552,0.18285841984096463
arson,6,15,0.7882470461047654,0.00048120371945901275
arson,7,15,0.5038350609598345,0.05550573990263258
arson,8,15,0.5440972463481817,0.03601152668463212
arson,9,16,0.10919628557456877,0.6872708043401561
arson,10,15,0.4597577237003904,0.08466238526733362
arson,11,15,0.6803246001822181,0.005252393802297145
arson,12,15,0.7572927551145564,0.001077203407439829
arson,13,16,0.6508244002067668,0.006326522459520502
arson,14,15,0.6709803492807217,0.006174736419503858
arson,15,15,0.2139653457372348,0.44383934443254014
arson,16,15,0.1846160650058954,0.5100991017551746
arson,17,16,0.7091281782293488,0.002098159114339189
arson,18,15,0.716762497568858,0.0026392046223783624
arson,19,15,0.28863750674525634,0.29679779745136586
arson,20,15,0.6712718565645903,0.006144156935109867
arson,21,16,0.6300917520194851,0.008891829700343806
arson,22,15,0.33822195692530915,0.21756446888910153
arson,23,15,0.28265303218545884,0.3073729226015695
arson,24,15,-0.14823940772425837,0.5980206822132457
arson,25,15,0.17291094921608238,0.5377268876895713
arson,26,16,0.4800047408109751,0.05987720046933031
arson,27,15,0.5141141594721822,0.049928665972029405
arson,28,15,0.737878271057303,0.001687442087029336
arson,29,15,0.5714986120469211,0.026040727449282618
arson,30,16,0.8450079591848384,3.785197854441846e-05
arson,31,15,0.42468309505476726,0.11459473264949131
arson,32,15,0.12791207700321347,0.6496148677737805
arson,33,15,0.12066322289618807,0.6683925664568156
arson,34,16,0.3352465419693975,0.20432280307939105
arson,35,15,0.7754383120280005,0.0006817401606076236
arson,36,15,0.15770341560242368,0.5745746036696076
arson,37,15,0.3256981508989995,0.23616063563290318
arson,38,16,0.510441260494631,0.0433544511387952
arson,39,15,0.5283324919697947,0.042908623453665445
arson,40,15,0.6096756719873678,0.01581904364860983
arson,41,15,0.23542654793464154,0.3982961339749589
arson,42,16,0.5680525745815047,0.021699539056822703
arson,43,15,0.3727875913107813,0.17116009694724887
arson,44,15,,
arson,45,15,,
arson,46,16,-0.507489183756441,0.044787095156246265
arson,47,15,0.12851177623425633,0.6480699321641248
arson,48,15,,
arson,49,15,,
arson,50,15,0.8714990071917934,2.315795434812301e-05
arson,51,16,0.056139297193884864,0.8363977756064559
arson,52,15,0.6927226515689331,0.004200643526257298
arson,53,15,0.4909220741438901,0.06314111791951275
arson,54,15,0.7540589501592287,0.001164018295649634
arson,55,16,0.6574921776175735,0.0056409198970107394
arson,56,15,0.809696098451165,0.0002540705242992256
arson,57,15,0.7672983848070166,0.0008411573977633603
arson,58,15,0.5353645955911746,0.03972075424452246
arson,59,16,0.5033558446527309,0.04685211876145034
arson,60,15,0.5689175474824529,0.02687836960034627
arson,61,15,0.64789414694777,0.009005477709509687
arson,62,15,0.018885014266053494,0.9467399587154068
arson,63,16,0.15379053242524515,0.5695852733815732
arson,64,15,-0.5103141065833655,0.0519400736277883
arson,65,15,0.8522577859625213,5.464156013962871e-05
arson,66,15,0.7168646608061067,0.002633744047269642
arson,67,16,0.8116691285081241,0.0001347639659826442
arson,68,15,0.9319609822484484,4.313732205234367e-07
arson,69,15,0.7374551971326166,0.0017033090684216868
arson,70,15,0.8415401760936999,8.383227630772809e-05
arson,71,16,0.7123797361304434,0.00195816187630408
arson,72,15,0.8872948612444043,1.0270947481373361e-05
