variable,z_percentile,n,rho_spearman,p_value
infra_alcohol,1,16,0.06809183883785541,0.8021515814152705
infra_alcohol,2,15,-0.02699746235780194,0.9239129227237258
infra_alcohol,3,15,-0.1628464866293822,0.5619961968608884
infra_alcohol,4,15,0.23712933051019677,0.39479257029687376
infra_alcohol,5,16,-0.3316462857645768,0.2095281945978373
infra_alcohol,6,15,0.22232886402706728,0.42578900434255285
infra_alcohol,7,15,,
infra_alcohol,8,15,,
infra_alcohol,9,16,-0.3350102745558276,0.2046618221187621
infra_alcohol,10,15,,
infra_alcohol,11,15,0.3855176431903074,0.1558597236584144
infra_alcohol,12,15,0.3166714167735443,0.2501575599321243
infra_alcohol,13,16,0.24032315149831088,0.3699555747033447
infra_alcohol,14,15,0.3862937788754612,0.15495745905795302
infra_alcohol,15,15,-0.27309163537343933,0.3247166547137692
infra_alcohol,16,15,0.47027423005255126,0.07689117437802162
infra_alcohol,17,16,,
infra_alcohol,18,15,0.03664878212648681,0.8968287105838233
infra_alcohol,19,15,-0.16949599717445057,0.5459095094109442
infra_alcohol,20,15,0.0980279097742625,0.7281691524143648
infra_alcohol,21,16,,
infra_alcohol,22,15,,
infra_alcohol,23,15,,
infra_alcohol,24,15,0.40686928108981535,0.13229779869426272
infra_alcohol,25,15,0.5296534936550901,0.042295774535348926
infra_alcohol,26,16,-0.21243842305859373,0.4295842927740736
infra_alcohol,27,15,,
infra_alcohol,28,15,,
infra_alcohol,29,15,,
infra_alcohol,30,16,0.49861719579048835,0.0493060343737313
infra_alcohol,31,15,-0.1519851474849,0.5886953715456957
infra_alcohol,32,15,,
infra_alcohol,33,15,-0.033618431180069096,0.9053226460051695
infra_alcohol,34,16,,
infra_alcohol,35,15,-0.34424341057561625,0.20896305365210416
infra_alcohol,36,15,,
infra_alcohol,37,15,,
infra_alcohol,38,16,-0.24955178676197506,0.35128453571865537
infra_alcohol,39,15,0.4129169451006473,0.12609188537469052
infra_alcohol,40,15,,
infra_alcohol,41,15,0.5084751798731267,0.052934511084947004
infra_alcohol,42,16,,
infra_alcohol,43,15,,
infra_alcohol,44,15,,
infra_alcohol,45,15,,
infra_alcohol,46,16,,
infra_alcohol,47,15,,
infra_alcohol,48,15,,
infra_alcohol,49,15,,
infra_alcohol,50,15,,
infra_alcohol,51,16,,
infra_alcohol,52,15,0.0386795826464605,0.8911422285034745
infra_alcohol,53,15,,
infra_alcohol,54,15,,
infra_alcohol,55,16,,
infra_alcohol,56,15,-0.06196971660197944,0.8263418862485808
infra_alcohol,57,15,,
infra_alcohol,58,15,,
infra_alcohol,59,16,,
infra_alcohol,60,15,,
infra_alcohol,61,15,0.40795336176841496,0.1311703700305567
infra_alcohol,62,15,,
infra_alcohol,63,16,0.2891056719475404,0.27747006375666045
infra_alcohol,64,15,0.05796736197002103,0.8374151354127659
infra_alcohol,65,15,,
infra_alcohol,66,15,,
infra_alcohol,67,16,-0.14033791953453328,0.6041836026268157
infra_alcohol,68,15,,
infra_alcohol,69,15,,
infra_alcohol,70,15,0.06196971660197944,0.8263418862485808
infra_alcohol,71,16,0.4216370213557839,0.10381410752694958
infra_alcohol,72,15,0.3738335897094201,0.1698670466415293
infra_alcohol,73,15,0.5002067397235337,0.057579029430994834
infra_alcohol,74,15,-0.032378458136544615,0.9088010311006756
infra_alcohol,75,15,,
infra_alcohol,76,16,,
infra_alcohol,77,15,0.43378801621385615,0.10621077351772723
infra_alcohol,78,15,,
infra_alcohol,79,15,,
infra_alcohol,80,16,,
infra_alcohol,81,15,,
infra_alcohol,82,15,,
infra_alcohol,83,15,0.09086529587978744,0.7474101551253866
infra_alcohol,84,16,,
infra_alcohol,85,15,0.21787233516529753,0.43535986119601067
infra_alcohol,86,15,,
infra_alcohol,87,15,-0.21708861918969313,0.4370541648927192
