variable,n,naive_spearman,naive_p_value,gam_residual_spearman,gam_residual_p_value,delta
weapons_violation,1524,0.889446134817681,0.0,0.8410012399134654,0.0,-0.04844489490421555
battery,1524,0.8561446671861129,0.0,0.806913957255791,0.0,-0.04923070993032197
assault,1524,0.8542641892054051,0.0,0.7876539948918293,2e-322,-0.06661019431357584
interference_with_public_officer,1524,0.8134693519628959,0.0,0.7420397477581091,1.1936061400277743e-266,-0.07142960420478683
criminal_damage,1524,0.7912396271020568,0.0,0.7391845738883586,1.4940067280852102e-263,-0.05205505321369819
other_offense,1524,0.8004158641691118,0.0,0.7381692400947544,1.8452381902507358e-262,-0.06224662407435744
crim_sexual_assault,1524,0.8099661671165861,0.0,0.7298755469249371,9.922006353949482e-254,-0.08009062019164903
robbery,1524,0.814336800948533,0.0,0.7272609914092429,4.806090838559664e-251,-0.08707580953929006
offense_involving_children,1524,0.8166929303543294,0.0,0.7208280130888846,1.4363080325047764e-244,-0.09586491726544488
narcotics,1524,0.8565124879244224,0.0,0.7078573715186992,4.718917904082858e-232,-0.14865511640572315
arson,1524,0.7831290532914867,2.60608067e-316,0.6855705435291166,4.404319134227758e-212,-0.09755850976237013
motor_vehicle_theft,1524,0.779749775395232,7.96216292763e-312,0.673609924813858,4.331155910708113e-202,-0.1061398505813741
public_peace_violation,1524,0.7432649576828063,5.432932496575405e-268,0.6647265279011638,5.733124257461277e-195,-0.0785384297816425
burglary,1524,0.7135511794437511,1.842622041840758e-237,0.64802224794139,3.203705113859521e-182,-0.06552893150236117
gambling,1524,0.7310393274720576,6.183198659726166e-255,0.6418191024817981,1.0897864342346981e-177,-0.0892202249902595
sex_offense,1524,0.6788855330821627,1.9397321058127556e-206,0.6271087036180544,2.3712541978701474e-167,-0.05177682946410833
criminal_trespass,1524,0.7012452676027928,6.204246254941948e-226,0.5939887061091287,5.310491428261106e-146,-0.10725656149366414
criminal_sexual_assault,1524,0.6829780413017992,7.089586232439689e-210,0.5938914157735854,6.084414427187245e-146,-0.08908662552821378
kidnapping,1524,0.642351685556213,4.4914537846964774e-178,0.5726835855752375,1.5727587324310084e-133,-0.06966809998097556
theft,1524,0.5809925334159721,2.7687672920043024e-138,0.5487860751516971,1.3777159348285328e-120,-0.03220645826427504
deceptive_practice,1524,0.532785257836383,1.7248802822224566e-112,0.5307833090209794,1.6578968343957554e-111,-0.002001948815403609
intimidation,1524,0.6120293878051251,2.571242203876939e-157,0.5275854920003736,5.967779471698102e-110,-0.08444389580475142
liquor_law_violation,1524,0.4760242555930979,5.1053411802396975e-87,0.5032656006951421,1.2099138728988928e-98,0.027241345102044234
stalking,1524,0.5915992700906633,1.4805035325580665e-144,0.49430646232746844,1.0536463265709998e-94,-0.09729280776319482
prostitution,1524,0.5907546004814789,4.768993212140285e-144,0.3702548606035528,1.0248127018025313e-50,-0.2204997398779261
obscenity,1524,0.28637531336304506,3.715158917442237e-30,0.2941476246857725,8.513096108944285e-32,0.007772311322727432
concealed_carry_license_violation,1524,0.45131037731107104,2.411692048506786e-77,0.2161786338766033,1.4204557936820695e-17,-0.23513174343446774
human_trafficking,1524,0.2047079059928866,6.999241391386955e-16,0.20841016743782004,2.0392583943868008e-16,0.0037022614449334357
public_indecency,1524,0.1505401228799821,3.511207120781252e-09,0.1513823463171102,2.8652045683414676e-09,0.0008422234371280868
