variable,n,naive_spearman,naive_p_value,gam_residual_spearman,gam_residual_p_value,delta
infra_place_of_worship,1524,0.44894619571254346,1.848214021072377e-76,0.45038091018898535,5.3810126650854264e-77,0.0014347144764418895
infra_school,1524,0.27264588982805193,2.2012995042011135e-27,0.24660554048737704,1.5074263814210682e-22,-0.026040349340674895
infra_fuel,1524,0.23016112298552055,9.016421593865132e-20,0.23167582310016235,5.105412836081733e-20,0.0015147001146418038
infra_community_centre,1524,0.13033469295117855,3.296054924913165e-07,0.1448371113975159,1.3505121383872673e-08,0.014502418446337345
infra_social_facility,1524,0.15156076767801568,2.7440151628118795e-09,0.13445299412179293,1.375676738198171e-07,-0.017107773556222755
infra_supermarket,1524,0.07824645240583813,0.002237129480621091,0.11140033278695965,1.3071741099277916e-05,0.03315388038112152
infra_alcohol,1524,0.047766928909948186,0.06228230403668249,0.1027596392068194,5.8463617366838816e-05,0.05499271029687121
infra_fire_station,1524,0.053843095490530866,0.035575132126776696,0.0917705468843863,0.00033423331010111473,0.03792745139385543
infra_playground,1524,0.1722148512947636,1.304762735873448e-11,0.08632419869759568,0.0007422014503595274,-0.08589065259716792
infra_courthouse,1524,0.001760832086104195,0.9452413191178414,0.07169559213230269,0.005107225865866115,0.06993476004619849
infra_arts_centre,1524,0.04087643100065667,0.11068774459863186,0.06593697190410165,0.010030766504368361,0.025060540903444985
infra_police,1524,0.01701331750415431,0.5068973935700397,0.06408518523535656,0.012338741180996742,0.04707186773120225
infra_casino,1524,0.022480756722808026,0.3804842156261574,0.06350546934850629,0.013152115485992554,0.04102471262569826
infra_restaurant,1524,0.022480756722808026,0.3804842156261574,0.06350546934850629,0.013152115485992554,0.04102471262569826
infra_nightclub,1524,0.004742919762536873,0.8532248651492954,0.058214963997630154,0.02304520942887899,0.05347204423509328
infra_laundry,1524,0.07355615883331507,0.004065242610819501,0.055014459544001956,0.031750072374009654,-0.01854169928931311
infra_hospital,1524,-0.004127746243007234,0.8720861141220477,0.052219135769303114,0.041522763175196854,0.05634688201231035
infra_library,1524,0.05222799583255737,0.041488161285452935,0.051352048146540354,0.0450292009693847,-0.000875947686017016
infra_clinic,1524,0.05519443457727853,0.031194771905739594,0.05013756713061141,0.05035718962330073,-0.00505686744666712
infra_prison,1524,-0.003735838111857383,0.8841407392063662,0.04120662053358502,0.10783401018948903,0.044942458645442405
infra_bar,1524,-0.0793327796155626,0.0019393078992372581,0.039250850840511525,0.12561499330633416,0.11858363045607413
infra_pharmacy,1524,-0.00538232261426099,0.8337093452787319,0.022432960224555577,0.38149806979061873,0.02781528283881657
infra_nursing_home,1524,0.01580772283409457,0.5374715070387892,0.019993608030823472,0.43541627584302633,0.004185885196728901
infra_research_institute,1524,-0.00091102440233193,0.9716525005639878,0.0034960033556494375,0.8915311919975316,0.004407027757981368
infra_park,1524,0.0424227406690768,0.09782227949239244,0.0023679542238561934,0.9264076296426542,-0.040054786445220605
infra_atm,1524,-0.03767536250309755,0.14153397129335568,0.0005479316483370654,0.9829482323274105,0.03822329415143461
infra_stripclub,1524,-0.03375439611654671,0.18783422556757354,-0.0014783732350717826,0.95401462473655,0.03227602288147493
infra_e-cigarette,1524,0.012022861957916336,0.6390798990715427,-0.0021736407608727347,0.9324315043105971,-0.01419650271878907
infra_monastery,1524,-0.013209853833812985,0.60634936081874,-0.004123758585978223,0.872208625242188,0.009086095247834762
infra_pub,1524,-0.08249015103254068,0.0012679400783558341,-0.006095226942871579,0.812071018482822,0.0763949240896691
infra_tobacco,1524,0.011283529997884434,0.6598328034426657,-0.007775586860062531,0.7616594784102949,-0.019059116857946964
infra_payment_terminal,1524,-0.026140119178683214,0.3078202489754189,-0.013061894781754265,0.6103882257468578,0.01307822439692895
