variable,z_percentile,n,rho_spearman,p_value
arson,1,17,0.6871175111815649,0.002308480570720491
arson,2,7,0.8160150140436474,0.02518862862232672
arson,3,23,0.20968807195713807,0.3369134175418985
arson,4,14,0.08885694389525961,0.7625969636279938
arson,5,25,0.5360099425975693,0.005748531633327963
arson,7,16,0.0533666057319321,0.8443838209626959
arson,8,14,0.7262574365704336,0.0032674029086739343
arson,9,26,0.35117909827014715,0.07855667852607165
arson,10,12,0.6206988552921409,0.03126188435133616
arson,11,21,0.3706859234893966,0.09808206788029365
arson,13,32,0.680450812078583,1.827386357427556e-05
arson,15,15,0.48948904454317443,0.06403309000625726
arson,16,26,0.4510493812817343,0.020738137553931626
arson,18,28,0.37407184505301755,0.04987713189760036
arson,20,42,0.6085192719152844,1.9076921507019402e-05
arson,22,16,0.6529598528160637,0.006100094791428546
arson,23,27,-0.0197164783006081,0.9222409832229688
arson,25,14,0.6655345908737779,0.009380871402791636
arson,26,12,0.3660737632329755,0.24187761430448937
arson,27,21,0.6975242631681048,0.0004398840442217286
arson,28,36,0.29042537328616047,0.08573979485951744
arson,30,23,0.703746538716461,0.00017900402764989298
arson,32,20,0.2579013881433173,0.2722879421648319
arson,33,7,0.3027650354097492,0.5092404282807682
arson,34,31,0.43807176981004425,0.01370659760788902
arson,35,10,0.4266497375409482,0.21884097894296592
arson,36,17,0.8401014124369,2.4397732239251282e-05
arson,37,15,0.7063108923833158,0.0032476697620281766
arson,38,15,0.906126013943165,3.2797651534941464e-06
arson,42,115,-0.08516315844337878,0.36549627528929235
arson,47,19,0.2085314445303033,0.3915913311619646
arson,48,26,0.6394249785183188,0.00043665317362805503
arson,50,16,0.5627244311217895,0.023249086583933726
arson,51,20,0.05104824505805446,0.830754776784072
arson,52,17,0.7384332065212251,0.000711267879951648
arson,53,15,0.7619504885297612,0.0009614353752473184
arson,54,16,0.504207827111418,0.046420767085343186
arson,55,9,0.8434464022453692,0.004274018137056311
arson,57,36,0.7848978931730413,1.4566220641441132e-08
arson,58,8,0.6543708577803532,0.07831401239401002
arson,59,23,0.5012503768123485,0.014826465839329468
arson,60,19,0.6695960883912064,0.001712878352609435
