variable,z_percentile,n,rho_spearman,p_value
infra_alcohol,1,17,0.12480754415067656,0.6331686847579043
infra_alcohol,2,7,,
infra_alcohol,3,23,-0.22369691412743442,0.30486202979233573
infra_alcohol,4,14,0.1302204451731189,0.6572516516007122
infra_alcohol,5,25,0.29123888298095774,0.15780891185802015
infra_alcohol,7,16,,
infra_alcohol,8,14,-0.1041225599272453,0.7231642614696346
infra_alcohol,9,26,-0.12066482503198686,0.5570931671453285
infra_alcohol,10,12,,
infra_alcohol,11,21,0.5575439562562712,0.008639416318801687
infra_alcohol,13,32,0.2627122170148517,0.14631933495815655
infra_alcohol,15,15,-0.21054996547580151,0.45131916123990523
infra_alcohol,16,26,0.12993987712392358,0.5269482016144897
infra_alcohol,18,28,,
infra_alcohol,20,42,0.09165136887251289,0.5637633065387759
infra_alcohol,22,16,,
infra_alcohol,23,27,0.3119267406084008,0.11320821603684177
infra_alcohol,25,14,0.08782652573448146,0.7652791773369734
infra_alcohol,26,12,,
infra_alcohol,27,21,-0.12785666930508327,0.5807354102989462
infra_alcohol,28,36,,
infra_alcohol,30,23,,
infra_alcohol,32,20,,
infra_alcohol,33,7,,
infra_alcohol,34,31,-0.11310822377764371,0.5446278232925517
infra_alcohol,35,10,,
infra_alcohol,36,17,0.3832341398000785,0.12890722851981062
infra_alcohol,37,15,-0.03112461930932822,0.9123198764286292
infra_alcohol,38,15,-0.06344891563557342,0.8222569749780977
infra_alcohol,42,115,,
infra_alcohol,47,19,,
infra_alcohol,48,26,0.1565228771517098,0.4451140155576797
infra_alcohol,50,16,,
infra_alcohol,51,20,,
infra_alcohol,52,17,0.031593983442976606,0.9041883228958786
infra_alcohol,53,15,,
infra_alcohol,54,16,,
infra_alcohol,55,9,,
infra_alcohol,57,36,0.016309105503051143,0.9247856006032976
infra_alcohol,58,8,,
infra_alcohol,59,23,,
infra_alcohol,60,19,0.376677985698077,0.1119171786637432
infra_alcohol,61,9,,
infra_alcohol,62,23,,
infra_alcohol,63,12,0.38933141071383015,0.2109547229428807
infra_alcohol,65,27,0.11405645455004254,0.5710777465006436
infra_alcohol,67,30,0.05374314628246388,0.7778981409348016
infra_alcohol,68,24,,
infra_alcohol,70,23,0.06838950821578807,0.7565174834182653
infra_alcohol,71,23,0.41975612561774023,0.046150658275257515
infra_alcohol,73,18,0.4785101489172643,0.04455581171009645
infra_alcohol,75,57,,
infra_alcohol,78,28,0.3221189793193985,0.09458804233085003
infra_alcohol,80,34,-0.07304041636163544,0.6814289776617353
infra_alcohol,82,18,0.17054265843300945,0.4986661548288989
infra_alcohol,83,19,,
infra_alcohol,84,6,,
infra_alcohol,85,24,,
infra_alcohol,86,9,,
infra_alcohol,87,17,0.3596495879143427,0.15622179708780307
infra_alcohol,88,24,0.2186635081054917,0.30464079644712105
infra_alcohol,90,27,-0.12616480823119325,0.5306170014827153
infra_alcohol,91,13,,
infra_alcohol,92,12,,
infra_alcohol,93,21,0.36963468223151486,0.09911321354359674
infra_alcohol,94,24,-0.18105088181895412,0.3971933036965319
infra_alcohol,96,11,,
infra_alcohol,97,27,0.10107137305034784,0.6159354975074318
infra_alcohol,98,24,0.015084283206063358,0.9442283753102388
infra_alcohol,99,5,,
infra_alcohol,100,14,,
infra_arts_centre,1,17,0.2560984571470246,0.3211153032871735
infra_arts_centre,2,7,,
infra_arts_centre,3,23,-0.04200571681917717,0.8490728412869798
infra_arts_centre,4,14,,
infra_arts_centre,5,25,0.15966798244182903,0.4458339239742459
infra_arts_centre,7,16,,
infra_arts_centre,8,14,0.08368174389484039,0.7760926324934733
infra_arts_centre,9,26,,
infra_arts_centre,10,12,,
infra_arts_centre,11,21,,
infra_arts_centre,13,32,,
infra_arts_centre,15,15,-0.14848574234110468,0.5974056055301429
infra_arts_centre,16,26,0.3558417859433833,0.07440300698669634
infra_arts_centre,18,28,,
infra_arts_centre,20,42,,
infra_arts_centre,22,16,,
infra_arts_centre,23,27,,
infra_arts_centre,25,14,,
infra_arts_centre,26,12,,
infra_arts_centre,27,21,0.20217595501455643,0.3794654922933815
infra_arts_centre,28,36,,
infra_arts_centre,30,23,-0.1634339085043784,0.45619692238629134
infra_arts_centre,32,20,,
infra_arts_centre,33,7,,
infra_arts_centre,34,31,0.07339294804472045,0.6947833639389189
infra_arts_centre,35,10,,
infra_arts_centre,36,17,0.025737258668912733,0.9218926328228086
infra_arts_centre,37,15,-0.0228392265294977,0.9356076521827197
infra_arts_centre,38,15,0.43613918799432355,0.10411714725334625
infra_arts_centre,42,115,-0.03488764249310271,0.7112678139655004
infra_arts_centre,47,19,,
