crime_variable,z_percentile_bin,n,rho_spearman,p_value
arson,Q1_low,318,0.5685231098205065,1.2736421415535681e-28
arson,Q2,379,0.6761354275105745,5.8596667550265225e-52
arson,Q3,224,0.5676921926434042,1.6487509176620314e-20
arson,Q4,308,0.7328226722803122,4.190231789627137e-53
arson,Q5_high,295,0.7764952959733419,1.0201513904265427e-60
assault,Q1_low,318,0.6863463770872162,1.289525477764091e-45
assault,Q2,379,0.7979031423538955,6.796773791501785e-85
assault,Q3,224,0.7667380149493429,1.2854884626051277e-44
assault,Q4,308,0.8966118724626967,2.8215932097570237e-110
assault,Q5_high,295,0.8685472551377147,2.5349405541333595e-91
battery,Q1_low,318,0.6845842853729426,2.6558923124560636e-45
battery,Q2,379,0.7853974684134054,1.523638436963436e-80
battery,Q3,224,0.7607968262563884,1.4536592074630754e-43
battery,Q4,308,0.9043582127189914,3.489060859657694e-115
battery,Q5_high,295,0.898057645788998,1.6246631873748847e-106
burglary,Q1_low,318,0.5146159385050553,6.696790047814558e-23
burglary,Q2,379,0.7285446057432896,6.382226942068799e-64
burglary,Q3,224,0.6470798752536847,5.781965591165494e-28
burglary,Q4,308,0.8056746300888017,1.4543294614241491e-71
burglary,Q5_high,295,0.7626360669519713,2.217441166609522e-57
concealed_carry_license_violation,Q1_low,318,0.43334848937473086,5.454004379881493e-16
concealed_carry_license_violation,Q2,379,0.20260487124940535,7.110957122675218e-05
concealed_carry_license_violation,Q3,224,0.3495533217063997,7.751575824019667e-08
concealed_carry_license_violation,Q4,308,0.36970354523759896,2.0730461669130506e-11
concealed_carry_license_violation,Q5_high,295,0.5134950790859075,3.013556721113964e-21
criminal_damage,Q1_low,318,0.6498765055682216,1.5183052005639504e-39
criminal_damage,Q2,379,0.7540085669998016,8.387524814238373e-71
criminal_damage,Q3,224,0.6871396311643951,1.2211347546376895e-32
criminal_damage,Q4,308,0.880518324254775,3.1999726966675974e-101
criminal_damage,Q5_high,295,0.856875235546725,2.651990325491059e-86
criminal_sexual_assault,Q1_low,318,0.5520779388068264,9.141462845153196e-27
criminal_sexual_assault,Q2,379,0.6554445466327727,6.826401781200486e-48
criminal_sexual_assault,Q3,224,0.599323504171018,3.1208337233119826e-23
criminal_sexual_assault,Q4,308,0.7899949265658338,5.5941974689707e-67
criminal_sexual_assault,Q5_high,295,0.7606249372345111,6.473693958288324e-57
criminal_trespass,Q1_low,318,0.6166729285869881,1.0611626401529897e-34
criminal_trespass,Q2,379,0.7022668829443047,1.3518801115210423e-57
criminal_trespass,Q3,224,0.6521409731296258,1.6230919828140819e-28
criminal_trespass,Q4,308,0.8068858175203933,6.181963893964302e-72
criminal_trespass,Q5_high,295,0.7348942513876559,2.4269811327524745e-51
deceptive_practice,Q1_low,318,0.48928121990465184,1.517076387686777e-20
deceptive_practice,Q2,379,0.6701039415989903,9.70918271791464e-51
deceptive_practice,Q3,224,0.5105660125691981,2.8539202231869967e-16
deceptive_practice,Q4,308,0.758739046017508,6.515251552152693e-59
deceptive_practice,Q5_high,295,0.6995096954246998,1.1651877134320022e-44
human_trafficking,Q1_low,318,0.07560730010114156,0.17866153522046604
human_trafficking,Q2,379,0.12133899479494421,0.018120178900073492
human_trafficking,Q3,224,0.16777866507923625,0.011907128114951107
human_trafficking,Q4,308,0.2763233734922878,8.393938813769959e-07
human_trafficking,Q5_high,295,0.1891097435466115,0.001099382342971981
interference_with_public_officer,Q1_low,318,0.6132874961557484,3.073614056590701e-34
interference_with_public_officer,Q2,379,0.6631391784177906,2.290281015736489e-49
interference_with_public_officer,Q3,224,0.7392201730119091,5.542118184792355e-40
interference_with_public_officer,Q4,308,0.8328719155241615,1.3283219383158816e-80
interference_with_public_officer,Q5_high,295,0.8493743061653418,2.6291682806938467e-83
intimidation,Q1_low,318,0.5247113536753474,6.780013063755724e-24
intimidation,Q2,379,0.5971286382549509,5.480320000150242e-38
intimidation,Q3,224,0.4957153866878346,2.707196686519976e-15
intimidation,Q4,308,0.687093263111822,2.349139513686727e-44
intimidation,Q5_high,295,0.5646729231391843,3.0394723682541874e-26
kidnapping,Q1_low,318,0.332137721889118,1.2569990082114755e-09
kidnapping,Q2,379,0.5472455389602203,5.428769329818356e-31
kidnapping,Q3,224,0.5084294991626314,3.971463575750625e-16
kidnapping,Q4,308,0.6825986530034379,1.3935444998638328e-43
kidnapping,Q5_high,295,0.7133014604823203,3.8276753258128364e-47
liquor_law_violation,Q1_low,318,0.48231412181023964,6.238289213343013e-20
liquor_law_violation,Q2,379,0.5300692055123308,7.632955474134603e-29
liquor_law_violation,Q3,224,0.32263010429344285,8.045804875216298e-07
liquor_law_violation,Q4,308,0.5539452025017152,3.61565977240836e-26
liquor_law_violation,Q5_high,295,0.6064193743717112,5.171774940789681e-31
motor_vehicle_theft,Q1_low,318,0.6443572875641087,1.0673805702560911e-38
motor_vehicle_theft,Q2,379,0.7586636535831551,3.7491431448671317e-72
motor_vehicle_theft,Q3,224,0.7031709782574719,9.934012929308346e-35
motor_vehicle_theft,Q4,308,0.8113248742542967,2.550254913354054e-73
motor_vehicle_theft,Q5_high,295,0.798992586389574,1.1146416453823004e-66
narcotics,Q1_low,318,0.648717408910461,2.2945002681138242e-39
narcotics,Q2,379,0.7485451957736892,2.948869363482193e-69
narcotics,Q3,224,0.770881995533218,2.2677437927365863e-45
narcotics,Q4,308,0.8827612151953912,2.108944633027776e-102
