component,spearman_rho,p_value,abs_rho
PC1,0.818397887201898,0.0,0.818397887201898
PC2,-0.5526233754029091,1.3529337388234442e-122,0.5526233754029091
PC5,-0.12788720116411947,5.471325594227866e-07,0.12788720116411947
PC8,0.11380507637866005,8.44409651760869e-06,0.11380507637866005
PC10,0.09607601536820486,0.00017246282441224205,0.09607601536820486
PC4,-0.08438519077318389,0.0009756838568350924,0.08438519077318389
PC6,0.05313731941047571,0.038064311313376516,0.05313731941047571
PC9,-0.05084129270985199,0.04720906756626224,0.05084129270985199
PC7,-0.049489822632918186,0.05340840131377746,0.049489822632918186
PC3,0.02716822433997685,0.28917619208385453,0.02716822433997685
