variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
arson,0.1878064214863011,-0.16031944414584878,0.01726118498489288,-0.05941699754348091,-0.10024739970275812,0.03856346909750606,-0.05354591174505848,0.0006590957018240844,0.0015743232533136215,-0.0073278263683091704
assault,0.23537371639102833,-0.05621805032284541,-0.012260719330370668,0.02485500966944077,0.0013080912686404787,0.007673952412776444,0.02798895802818025,-0.013062705977849334,-0.019972619842410468,-0.032466076470136086
battery,0.23394809112014225,-0.07955637748860123,0.014288480670667777,-0.015725450347548547,0.03364554456737742,0.01610274455802467,0.024017292549384783,-0.03923825494609729,-0.0040220115892401626,-0.026052782752231267
burglary,0.1981634487837162,-0.031128440943765545,-0.046025163784449034,-0.16699427852225268,-0.1262310918800626,0.07581001506638926,0.0006332797445446348,-0.0437454174427235,0.043191439697799344,-0.06823512679700477
concealed_carry_license_violation,0.024796528370880686,0.04041341920212706,0.03857749149334884,0.16938650776050043,0.30621265597203173,0.3968812776120108,-0.2505197276116465,0.2579669167172143,-0.12387360335277697,-0.15649662914990556
criminal_damage,0.23034523508143526,-0.03856873750162902,-0.027310384695765664,-0.1001003331380533,-0.049650458971156025,0.06190246633827561,0.034033876792992954,-0.003343248394513398,0.02665099104967033,-0.03873586102085613
criminal_sexual_assault,0.14615271188288398,0.11149081348130858,-0.004169639461455303,-0.008428090448854031,0.2023198645193049,-0.24922648580737627,-0.08805253742341426,-0.1629257008656608,-0.04277443793393922,0.0062515664701534674
criminal_trespass,0.15213582468380432,0.12662582597361774,-0.0015263555710553318,0.11156280340656104,0.17032725153928713,0.06585865535831918,0.07368804934779619,-0.038133034593952266,-0.08198753092152512,-0.06650904690208251
deceptive_practice,0.14181401841433924,0.26719706094359025,0.086517284561732,0.14872293354695354,-0.03599098304597587,-0.002388839377273942,-0.02268563958402473,-0.08573028025648903,-0.06266553462190162,0.04997275922491337
human_trafficking,0.06769711125998722,-0.023194587778261246,-0.0052990966046459346,-0.0018954151619272753,0.24313769794131992,-0.22502081559864376,-0.13188349759563509,-0.04777008222438287,0.18553376578155442,0.06896061291111806
interference_with_public_officer,0.2100760200951705,-0.07597494596177226,0.04879955502289524,0.10599711622236752,0.03779125692035667,-0.008065624099940116,-0.011499809290821972,-0.07513498714440296,0.08727177698383277,-0.007866186358783446
intimidation,0.15195337745657736,0.08626380464818671,-0.06559300613825102,0.29183240893690054,-0.17546737357497919,-0.09544532867217426,0.14574604031306623,0.0805100695699217,0.05142702332234031,-0.0694942807566935
kidnapping,0.1735559128471589,-0.1061238210462557,-0.018843929231020257,-0.039436792289919684,-0.06608337227790112,0.05356266527619448,0.08049414719341808,0.0013468617534934098,0.06856996313613847,-0.1289859737068157
liquor_law_violation,0.14481603670672147,0.14363104093943158,0.02901888715318745,-0.14092990981527173,-0.16917898391490763,0.06755825489159673,-0.06455222012965088,0.04108463957494468,0.07119598419247072,0.06715795874704351
motor_vehicle_theft,0.21465196158177738,-0.029557400361642193,0.009667829879711359,-0.09660642846562266,-0.03168932565607065,0.034272346021266546,-0.008381520579846747,0.007871748593878753,0.037994718512494835,-0.014748625471942169
narcotics,0.17471658541769383,-0.14811944407065405,0.014387016916511043,0.008322446645291784,0.1376605098741588,-0.0015646037153459274,-0.003952436021090725,-0.08897820295641047,0.05586259422505242,-0.015026913969801381
obscenity,0.09760095351647355,0.0392451349959646,-0.13071870888404802,-0.0786607465163224,-0.07880267349511598,0.08570271579843944,0.13483929490013002,-0.009988949874959192,-0.09273459557540076,-0.018854587869400228
offense_involving_children,0.19954743359636604,-0.15625349319046067,-0.0322281724339501,-0.025412159165368087,-0.024190145788753288,0.04548448990773888,0.08322597562892593,0.02160112936350342,0.03172764757796375,-0.09303536274863912
other_offense,0.22408704609771546,-0.02775162423836002,-0.02144089632259614,0.04432043674575871,0.03966563801258951,0.11405506692365897,-0.01305417806750441,0.015907694071457548,-0.021734431036297287,-0.11608351979581306
prostitution,0.0798988168271869,-0.0019584345454876405,0.10331234809652108,-0.08129998881101994,0.07582187475058097,-0.12481068893965133,-0.12095305973415661,-0.11427558852194603,0.11570857503092698,0.09884311625968122
public_indecency,0.08622148105752124,0.1926533917093876,0.00039707917133230446,0.21238709930122424,-0.12919770907106562,-0.020851117103773385,-0.08906827578184034,-0.1530923975982808,-0.06207081383695511,0.24225391730972887
public_peace_violation,0.19463206153881923,0.04443944323498689,-0.016291729627903356,0.1070334194598463,-0.029569198060349505,0.06282349849124681,-0.02229385144147299,0.03941057682055858,-0.07166163257790427,0.017136301436362345
robbery,0.22544300585729174,-0.01782554985781213,0.0206466830522221,-0.022162122668140497,-0.02387331505779775,-0.007872549264604794,-0.04371632306480288,-0.05781459308741553,0.027594861178610777,0.021408091239583534
sex_offense,0.21067519208667376,0.10491851016123274,-0.04982136895474075,0.005699493872004148,-0.04401405718046934,0.014382053991533653,0.00885510316792946,0.0003279124109556496,-0.05851655447197361,0.03131326569827015
stalking,0.18837950597873973,0.08809108890138953,-0.06560425510481135,0.06551743362948385,-0.02269418867500488,0.014841046895707644,0.10857460763619622,0.008967286102119044,0.012225302060156018,-0.02985694113744426
theft,0.15204688756756365,0.2634755100806227,0.04706760491032219,0.12499740303735235,-0.04706716189877176,-0.028165244184955307,-0.04599379611976864,-0.07459016579874514,-0.06890353061168951,0.053802233762394985
weapons_violation,0.2094034195956157,-0.16560196235592875,0.06794366736241181,0.016929859183907082,0.047610246869083044,0.03659039695016118,-0.028317821177511512,-0.022486171408819245,0.005790115687955128,-0.003536699210040789
gambling,0.15790435072858533,-0.16529558529723412,0.016103334780736358,-0.00226140206157254,0.13332367444392898,-0.0007963422824231187,-0.0030344113491362714,-0.11063747601204367,0.059996000786235196,-0.03309553155313127
crim_sexual_assault,0.2256818031328532,-0.035803879842946404,0.030047202716667124,-0.06347992033487888,0.05463151235079985,-0.06765451557448982,-0.023857080697483077,-0.08035825650742667,-0.007078705669404159,-0.025809419521982492
infra_alcohol,0.04354149576791945,0.12887261719149049,-0.13167291118970884,-0.23372670229922102,-0.09154594730813467,0.007686571082103314,-0.17291846389977383,0.15148743565314682,0.17830265609879417,0.02506822933154315
infra_arts_centre,0.027727304036525093,0.06598418415217226,-0.11197327100436084,-0.07627431698511439,-0.12789259179260812,-0.052457998508880305,-0.16022431367770942,0.18115739142782863,-0.11240675427272405,0.14514775018113607
