component,variance_explained_pct,regression_coefficient,abs_coefficient
PC1,25.949788352431845,2.4294007639273194,2.4294007639273194
PC2,9.094016509740733,-2.341909573180239,2.341909573180239
PC3,3.5901169993500806,0.413598891727853,0.413598891727853
PC4,3.4393339116595043,-0.14992767360038645,0.14992767360038645
PC5,2.6386615823616184,0.4225923813873633,0.4225923813873633
PC6,2.5057222598782967,0.20739074058737986,0.20739074058737986
PC7,2.478995832997689,-0.1517604463156694,0.1517604463156694
PC8,2.2289519030846736,-0.6558388370083096,0.6558388370083096
PC9,2.175765814130232,0.1890600160466424,0.1890600160466424
PC10,2.006511892052715,0.04849827873228254,0.04849827873228254
MODEL,56.10786505768739,9.269028871391075,0.830513467319736
