feature,gain,weight,cover,sklearn_importance,feature_group,gain_rank
drug_unique_blocks,248.091796875,210.0,8302.5830078125,0.29165235,drug_summary,1
drug_location_street,157.9043426513672,141.0,6775.55810546875,0.18562956,drug_location,2
poverty_pct,49.11276626586914,337.0,9183.9228515625,0.057736102,socioeconomic,3
per_capita_income,46.41510772705078,233.0,7437.06396484375,0.05456478,socioeconomic,4
hardship_index,25.884021759033203,148.0,7528.0263671875,0.0304288,socioeconomic,5
drug_time_evening,23.355878829956055,105.0,5231.0126953125,0.02745676,drug_time,6
drug_count,21.76009178161621,249.0,3587.079345703125,0.02558078,drug_summary,7
drug_time_morning,18.59528923034668,133.0,7297.71484375,0.021860294,drug_time,8
drug_season_winter,18.479028701782227,111.0,4596.07080078125,0.02172362,drug_season,9
drug_location_sidewalk,13.79585075378418,115.0,7669.19775390625,0.01621816,drug_location,10
community_area_number,12.565081596374512,331.0,6562.64794921875,0.014771288,community_area,11
hex_r,12.429080963134766,519.0,3712.08154296875,0.014611409,spatial,12
infra_school,10.294002532958984,91.0,6288.400390625,0.012101448,infrastructure,13
infra_place_of_worship,9.979986190795898,91.0,7218.06396484375,0.011732296,infrastructure,14
centroid_lat,9.190265655517578,55.0,4807.08447265625,0.010803915,spatial,15
infra_bar,8.663823127746582,67.0,3682.88818359375,0.010185038,infrastructure,16
infra_playground,7.622535228729248,102.0,6519.75634765625,0.0089609185,infrastructure,17
infrastructure_total,7.570139408111572,274.0,2155.096923828125,0.008899323,other,18
infra_community_centre,7.405178070068359,46.0,1397.6839599609375,0.008705397,infrastructure,19
drug_location_apartment,7.170105934143066,38.0,8781.205078125,0.00842905,drug_location,20
drug_season_spring,6.235215663909912,113.0,7315.55029296875,0.0073300097,drug_season,21
community_area_missing,5.441774845123291,13.0,14609.146484375,0.0063972548,community_area,22
drug_time_night,5.402717113494873,61.0,3816.18603515625,0.006351339,drug_time,23
drug_location_vehicle_non_commercial,5.262213706970215,30.0,1466.4053955078125,0.006186166,drug_location,24
infra_arts_centre,5.226475238800049,3.0,1476.8218994140625,0.006144152,infrastructure,25
centroid_lon,4.766074180603027,394.0,4246.17529296875,0.005602913,spatial,26
infra_laundry,4.728625774383545,56.0,11204.3212890625,0.0055588894,infrastructure,27
infra_fuel,4.650463104248047,97.0,10052.5361328125,0.0054670023,infrastructure,28
hex_q,4.528980731964111,650.0,5299.91650390625,0.00532419,spatial,29
infra_police,4.3161725997924805,31.0,11539.599609375,0.0050740163,infrastructure,30
drug_season_summer,4.217631816864014,115.0,5508.27685546875,0.0049581737,drug_season,31
infra_supermarket,4.181997776031494,31.0,3714.516357421875,0.004916283,infrastructure,32
drug_location_alley,4.0239691734313965,55.0,3703.133056640625,0.0047305073,drug_location,33
drug_season_fall,3.9355556964874268,112.0,3993.306396484375,0.00462657,drug_season,34
drug_location_park_property,3.6855030059814453,61.0,10877.0234375,0.0043326123,drug_location,35
drug_time_afternoon,3.6110756397247314,55.0,3734.269287109375,0.004245117,drug_time,36
drug_arrest_rate,3.5817365646362305,84.0,6764.4775390625,0.0042106262,drug_summary,37
infra_clinic,3.5715248584747314,56.0,12539.8095703125,0.0041986215,infrastructure,38
infra_pharmacy,3.4630911350250244,33.0,11107.7861328125,0.004071149,infrastructure,39
infra_social_facility,3.4466049671173096,34.0,3539.267822265625,0.004051768,infrastructure,40
infra_courthouse,3.348641872406006,23.0,17629.18359375,0.0039366046,infrastructure,41
infra_park,3.329679489135742,40.0,3267.16064453125,0.0039143125,infrastructure,42
drug_location_gas_station,3.1288034915924072,6.0,2178.939453125,0.0036781663,drug_location,43
drug_location_parking_lot_garage_non_resid,3.02508544921875,52.0,2791.3681640625,0.003556237,drug_location,44
infra_pub,2.7652881145477295,24.0,12544.2939453125,0.003250824,infrastructure,45
infra_alcohol,2.7281746864318848,20.0,602.5936279296875,0.0032071942,infrastructure,46
drug_location_cta_platform,2.6900947093963623,3.0,2435.224609375,0.003162428,drug_location,47
infra_hospital,2.659778118133545,25.0,16634.806640625,0.0031267884,infrastructure,48
infra_payment_terminal,2.6585118770599365,4.0,3003.483642578125,0.0031252997,infrastructure,49
drug_location_residence,2.534412384033203,33.0,3219.32958984375,0.0029794106,drug_location,50
drug_domestic_rate,2.3474762439727783,6.0,8102.80615234375,0.0027596517,drug_summary,51
infra_fire_station,2.2931430339813232,18.0,1011.3120727539062,0.0026957786,infrastructure,52
infra_nightclub,2.2059214115142822,3.0,652.4603881835938,0.0025932423,infrastructure,53
infra_prison,2.1241865158081055,9.0,12661.7958984375,0.0024971562,infrastructure,54
infra_atm,2.080716609954834,32.0,12342.083984375,0.0024460538,infrastructure,55
infra_nursing_home,1.874826431274414,1.0,189.53990173339844,0.0022040128,infrastructure,56
infra_library,1.784818172454834,36.0,282.9714660644531,0.0020982008,infrastructure,57
infra_stripclub,1.2615362405776978,6.0,19133.4140625,0.0014830398,infrastructure,58
infra_tobacco,1.2393312454223633,2.0,17512.26953125,0.001456936,infrastructure,59
infra_casino,0.0,0.0,0.0,0.0,infrastructure,60
infra_e_cigarette,0.0,0.0,0.0,0.0,infrastructure,60
infra_monastery,0.0,0.0,0.0,0.0,infrastructure,60
infra_research_institute,0.0,0.0,0.0,0.0,infrastructure,60
infra_restaurant,0.0,0.0,0.0,0.0,infrastructure,60
