feature,gain,weight,cover,sklearn_importance,feature_group,gain_rank
poverty_pct,28.309602737426758,191.0,79.45194244384766,0.12192205,socioeconomic,1
drug_unique_blocks,26.327014923095703,175.0,79.20762634277344,0.11338357,drug_summary,2
drug_count,23.988157272338867,98.0,67.66482543945312,0.10331072,drug_summary,3
hardship_index,11.328109741210938,134.0,63.50910949707031,0.048787206,socioeconomic,4
drug_location_sidewalk,6.916298866271973,114.0,49.86603546142578,0.02978669,drug_location,5
drug_location_street,6.097031593322754,129.0,50.701778411865234,0.02625832,drug_location,6
infra_bar,5.962567329406738,70.0,51.61472702026367,0.025679218,infrastructure,7
infra_school,5.664005756378174,64.0,39.05876922607422,0.02439339,infrastructure,8
drug_season_winter,5.443990230560303,69.0,40.4254035949707,0.02344584,drug_season,9
centroid_lat,5.353415489196777,38.0,55.490413665771484,0.02305576,spatial,10
drug_location_gas_station,5.040921211242676,6.0,36.87101364135742,0.021709928,drug_location,11
hex_r,4.516764163970947,218.0,47.316375732421875,0.019452522,spatial,12
drug_time_morning,4.27921724319458,44.0,40.12678146362305,0.01842947,drug_time,13
infra_fire_station,4.09765100479126,8.0,46.5005989074707,0.01764751,infrastructure,14
infra_laundry,3.9884302616119385,26.0,54.94508361816406,0.017177125,infrastructure,15
infra_police,3.941237688064575,4.0,89.16157531738281,0.01697388,infrastructure,16
infra_playground,3.9156408309936523,102.0,40.5775260925293,0.01686364,infrastructure,17
per_capita_income,3.785989999771118,91.0,37.20103454589844,0.016305268,socioeconomic,18
hex_q,3.6736090183258057,168.0,41.09504318237305,0.015821273,spatial,19
drug_time_evening,3.614834785461426,106.0,36.37034606933594,0.015568147,drug_time,20
infra_place_of_worship,3.50932240486145,73.0,40.047035217285156,0.015113734,infrastructure,21
infra_alcohol,3.2460312843322754,1.0,12.541022300720215,0.0139798075,infrastructure,22
drug_location_park_property,3.0473079681396484,29.0,67.0436782836914,0.013123958,drug_location,23
drug_location_residence,3.037877082824707,31.0,25.050432205200195,0.0130833415,drug_location,24
infra_fuel,3.022494077682495,14.0,16.935134887695312,0.013017091,infrastructure,25
infra_pharmacy,2.997734308242798,18.0,49.27781677246094,0.012910457,infrastructure,26
infra_clinic,2.874084711074829,35.0,52.92084884643555,0.012377931,infrastructure,27
infra_library,2.870401382446289,2.0,25.200176239013672,0.012362068,infrastructure,28
community_area_number,2.8061201572418213,78.0,38.75853729248047,0.012085225,community_area,29
drug_arrest_rate,2.7979891300201416,100.0,41.879241943359375,0.012050207,drug_summary,30
infrastructure_total,2.7850759029388428,124.0,38.18038558959961,0.011994594,other,31
drug_time_night,2.7834408283233643,53.0,23.612916946411133,0.011987551,drug_time,32
drug_location_apartment,2.6759371757507324,4.0,31.459575653076172,0.011524562,drug_location,33
centroid_lon,2.558812379837036,257.0,34.54414367675781,0.011020135,spatial,34
drug_time_afternoon,2.518974542617798,77.0,23.622297286987305,0.010848564,drug_time,35
infra_social_facility,2.430511951446533,7.0,13.319777488708496,0.01046758,infrastructure,36
infra_supermarket,2.367082118988037,8.0,36.23674392700195,0.010194403,infrastructure,37
drug_season_fall,2.3537821769714355,80.0,40.469032287597656,0.010137124,drug_season,38
drug_season_spring,2.2031354904174805,67.0,27.324182510375977,0.009488328,drug_season,39
drug_location_cta_platform,2.146103620529175,32.0,51.438148498535156,0.009242707,drug_location,40
drug_season_summer,2.143155097961426,66.0,24.349834442138672,0.009230008,drug_season,41
drug_location_vehicle_non_commercial,2.092097282409668,24.0,28.76263999938965,0.009010116,drug_location,42
infra_atm,2.032660484313965,1.0,76.19123840332031,0.008754137,infrastructure,43
drug_location_alley,1.966153621673584,50.0,28.7618408203125,0.00846771,drug_location,44
infra_park,1.5236598253250122,45.0,24.732391357421875,0.0065620043,infrastructure,45
drug_location_parking_lot_garage_non_resid,1.1598219871520996,4.0,41.29093933105469,0.00499505,drug_location,46
community_area_missing,0.0,0.0,0.0,0.0,community_area,47
drug_domestic_rate,0.0,0.0,0.0,0.0,drug_summary,47
infra_arts_centre,0.0,0.0,0.0,0.0,infrastructure,47
infra_casino,0.0,0.0,0.0,0.0,infrastructure,47
infra_community_centre,0.0,0.0,0.0,0.0,infrastructure,47
infra_courthouse,0.0,0.0,0.0,0.0,infrastructure,47
infra_e_cigarette,0.0,0.0,0.0,0.0,infrastructure,47
infra_hospital,0.0,0.0,0.0,0.0,infrastructure,47
infra_monastery,0.0,0.0,0.0,0.0,infrastructure,47
infra_nightclub,0.0,0.0,0.0,0.0,infrastructure,47
infra_nursing_home,0.0,0.0,0.0,0.0,infrastructure,47
infra_payment_terminal,0.0,0.0,0.0,0.0,infrastructure,47
infra_prison,0.0,0.0,0.0,0.0,infrastructure,47
infra_pub,0.0,0.0,0.0,0.0,infrastructure,47
infra_research_institute,0.0,0.0,0.0,0.0,infrastructure,47
infra_restaurant,0.0,0.0,0.0,0.0,infrastructure,47
infra_stripclub,0.0,0.0,0.0,0.0,infrastructure,47
infra_tobacco,0.0,0.0,0.0,0.0,infrastructure,47
